"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
1.64690441847225e-06,2.74227836415437,0.006,0.001,0.0499753145785405,"","ENSG00000284906"
1.63769532087599e-06,3.20170998279167,0.006,0.001,0.0496958645119818,"","ENSG00000287291"
1.6310260423308e-06,2.38613455392909,0.007,0.001,0.0494934852545282,"","ENSG00000225420"
1.62353771430306e-06,2.69425684929142,0.007,0.001,0.0492662519405265,"SLC30A8","ENSG00000164756"
1.59980131712294e-06,1.00829771789107,0.021,0.011,0.0485459709680955,"PKP1","ENSG00000081277"
1.59812570505079e-06,1.04843914318341,0.018,0.008,0.0484951245197663,"POGLUT2","ENSG00000134901"
1.55718642538294e-06,4.9221874541693,0.004,0,0.0472528220782454,"SGCZ","ENSG00000185053"
1.55718169832066e-06,4.68869732394952,0.004,0,0.0472526786355404,"","ENSG00000223536"
1.55718164860702e-06,4.70806264881645,0.004,0,0.0472526771269801,"FER1L5","ENSG00000249715"
1.55717918423292e-06,4.66906851720059,0.004,0,0.0472526023455481,"","ENSG00000278212"
1.55717915582517e-06,4.68869732394952,0.004,0,0.0472526014835148,"SUGT1P4-STRA6LP-CCDC180","ENSG00000255036"
1.55717657072159e-06,4.66906851720059,0.004,0,0.0472525230385466,"","ENSG00000235820"
1.5571738989782e-06,4.62899107782526,0.004,0,0.0472524419644934,"PMS2P3","ENSG00000127957"
1.55717112355079e-06,4.66906851720059,0.004,0,0.0472523577441487,"","ENSG00000244380"
1.55717112355079e-06,4.62899107782526,0.004,0,0.0472523577441487,"","ENSG00000230612"
1.55717112355079e-06,4.62899107782526,0.004,0,0.0472523577441487,"FSTL4","ENSG00000053108"
1.55716826148439e-06,4.58776841509874,0.004,0,0.0472522708947437,"LMO1","ENSG00000166407"
1.52928909971254e-06,1.40816086025909,0.012,0.004,0.0464062777307769,"SCML2","ENSG00000102098"
1.50811717131811e-06,1.61440354160221,0.008,0.002,0.0457638155636481,"SLC7A14-AS1","ENSG00000285051"
1.46842459356988e-06,3.50899130171463,0.005,0,0.044559344291878,"","ENSG00000253553"
1.45642828497499e-06,2.75722870562034,0.006,0.001,0.044195316307566,"WDR88","ENSG00000166359"
1.45580839266791e-06,2.80117205320794,0.006,0.001,0.0441765056755077,"ELAPOR1","ENSG00000116299"
1.45054030503651e-06,2.93867557695787,0.006,0.001,0.0440166455563329,"","ENSG00000268015"
1.44691073521492e-06,1.95871333019442,0.009,0.002,0.0439065062600969,"FHAD1-AS1","ENSG00000233485"
1.43058417941603e-06,3.2518334622175,0.005,0,0.0434110769243796,"MOGAT1","ENSG00000124003"
1.4083835734254e-06,1.22647788794061,0.015,0.006,0.0427373995355936,"CENPN","ENSG00000166451"
1.36735169743105e-06,1.60123448269918,0.01,0.003,0.0414922872585451,"RANBP3-DT","ENSG00000266983"
1.30047286247924e-06,1.18304268855158,0.014,0.006,0.0394628490119327,"","ENSG00000244459"
1.29754684398912e-06,4.93867557695787,0.005,0,0.0393740589808499,"RGS7","ENSG00000182901"
1.29754311268784e-06,4.80117205320794,0.005,0,0.0393739457545126,"","ENSG00000285859"
1.2975371383656e-06,4.70806264881645,0.005,0,0.0393737644637042,"NSRP1P1","ENSG00000235613"
1.29753494975828e-06,4.70806264881645,0.005,0,0.0393736980504149,"PMS2P1","ENSG00000078319"
1.29753273631045e-06,4.66906851720059,0.005,0,0.0393736308833406,NA,"ENSG00000256222"
1.29753272448016e-06,4.68869732394952,0.005,0,0.0393736305243506,"","ENSG00000261553"
1.29752804087763e-06,4.62899107782526,0.005,0,0.0393734884004316,"RPS27AP12","ENSG00000225224"
1.29752804087763e-06,4.62899107782526,0.005,0,0.0393734884004316,"FRG1CP","ENSG00000282826"
1.27475266971887e-06,1.5772760412811,0.009,0.002,0.0386823697626191,"KCNMB4","ENSG00000135643"
1.26847358086001e-06,2.16854311885647,0.008,0.002,0.038491830811197,"ARHGEF26-AS1","ENSG00000243069"
1.25122096891569e-06,2.22818219415286,0.008,0.002,0.0379683003017467,"BNC2-AS1","ENSG00000234779"
1.23403798771479e-06,2.83679596293866,0.005,0,0.0374468827372052,"STAB2","ENSG00000136011"
1.23163703581253e-06,3.13745544107237,0.005,0,0.0373740258517311,"TNFSF8","ENSG00000106952"
1.22745322556607e-06,3.28659888037818,0.005,0,0.0372470681298024,"","ENSG00000257283"
1.22699223380079e-06,3.35371307623671,0.005,0,0.0372330793346851,"WDR62","ENSG00000075702"
1.2268384804768e-06,3.41784341365643,0.005,0,0.0372284136900684,"FER1L6","ENSG00000214814"
1.21719729478191e-06,1.21395357854641,0.014,0.005,0.036935851910157,"CELA2B","ENSG00000215704"
1.21712123249723e-06,2.60852697526554,0.006,0.001,0.0369335438001284,"ERC2","ENSG00000187672"
1.21204361012502e-06,2.98703859851927,0.006,0.001,0.0367794633492437,"SLC47A2","ENSG00000180638"
1.21160459829081e-06,3.00280591437759,0.006,0.001,0.0367661415351347,"","ENSG00000287637"
1.20816610123637e-06,1.09885260184862,0.019,0.009,0.0366618003420177,"MYLK-AS1","ENSG00000239523"
1.19779778491247e-06,1.80117205320794,0.009,0.003,0.036347173783169,"","ENSG00000249021"
1.19299916052395e-06,2.90550871302267,0.005,0,0.0362015595260992,"","ENSG00000249335"
1.19176750984186e-06,1.11237374150224,0.019,0.009,0.0361641850861511,"CHN1","ENSG00000128656"
1.18665428407009e-06,3.88863489445828,0.005,0,0.036009024250107,"","ENSG00000286033"
1.18634519689444e-06,4.06420645904173,0.005,0,0.0359996449997619,"LINC01931","ENSG00000162947"
1.16499929432023e-06,1.17112166295824,0.016,0.007,0.0353519035861473,"LAG3","ENSG00000089692"
1.1542623354013e-06,2.36188700768241,0.007,0.001,0.0350260905677524,"MYEOV","ENSG00000172927"
1.1526660340523e-06,2.84381639061643,0.006,0.001,0.034977650803317,"LINC02345","ENSG00000259225"
1.15008702439001e-06,2.45324874978763,0.007,0.001,0.0348993907551148,"HEATR5A-DT","ENSG00000250365"
1.08130851582235e-06,4.58776841509874,0.005,0,0.0328123069126293,"B4GALT4-AS1","ENSG00000240254"
1.08127473866046e-06,4.83679596293866,0.005,0,0.0328112819446517,"WDR49","ENSG00000174776"
1.08126938284061e-06,4.70806264881645,0.005,0,0.0328111194222982,"FAUP4","ENSG00000173727"
1.08126938284061e-06,4.70806264881645,0.005,0,0.0328111194222982,"HMGB3P7","ENSG00000215399"
1.08126937298632e-06,4.74603049901547,0.005,0,0.0328111191232698,"","ENSG00000287511"
1.08126936313202e-06,4.72717147176416,0.005,0,0.0328111188242411,"","ENSG00000279814"
1.08126547167733e-06,4.66906851720059,0.005,0,0.0328110007380487,"CNTN4-AS2","ENSG00000227588"
1.08125912948876e-06,4.60852697526554,0.005,0,0.0328108082843363,"SLC5A9","ENSG00000117834"
1.08125912948876e-06,4.60852697526554,0.005,0,0.0328108082843363,"","ENSG00000255321"
1.06974827205255e-06,2.52363807767903,0.007,0.001,0.0324615113154346,"CDC42-AS1","ENSG00000285752"
1.06842118645814e-06,2.58078198478264,0.007,0.001,0.0324212409030723,"","ENSG00000238246"
1.06749505042624e-06,2.29686721583201,0.008,0.002,0.0323931373051841,"KCNQ1","ENSG00000053918"
1.0445181083165e-06,1.95871333019442,0.009,0.002,0.0316959019968643,"STAC3","ENSG00000185482"
1.04294181886514e-06,1.66687096149635,0.01,0.003,0.0316480694934625,"WFDC3","ENSG00000124116"
1.02451990983334e-06,3.28659888037818,0.005,0,0.0310890566638926,"SMKR1","ENSG00000240204"
1.02426349377475e-06,3.35371307623671,0.005,0,0.0310812757185947,"","ENSG00000254163"
9.89759386222214e-07,3.80117205320794,0.005,0,0.0300342485749131,"","ENSG00000286244"
