"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
1.56299818863136e-06,1.29321483476157,0.008,0.004,0.0474291800340185,"TAF12-DT","ENSG00000229388"
1.52380325135193e-06,1.82813665298313,0.003,0.001,0.0462398096622743,"KCNH4","ENSG00000089558"
1.51495109865686e-06,2.3729420272323,0.003,0.001,0.0459711910887425,"","ENSG00000286686"
1.50515828697987e-06,1.74067381173279,0.004,0.001,0.0456740282184041,"FOSL2-AS1","ENSG00000229951"
1.49175155067195e-06,2.74067381173279,0.002,0,0.0452672008051402,"","ENSG00000287516"
1.48663611846037e-06,1.03875516466578,0.007,0.003,0.0451119730146799,"IL12A-AS1","ENSG00000244040"
1.48610385663092e-06,1.55222872231968,0.007,0.003,0.0450958215294652,"","ENSG00000261335"
1.44067586165427e-06,2.54802873379039,0.003,0,0.0437173090218987,"PRSS3","ENSG00000010438"
1.44013400885979e-06,2.52494512067735,0.003,0,0.0437008664988504,"NKPD1","ENSG00000179846"
1.36430423941487e-06,3.9105988131751,0.002,0,0.0413998121450443,"","ENSG00000258170"
1.36416784854101e-06,3.98860132517637,0.002,0,0.0413956733639771,"IL1R1-AS1","ENSG00000226925"
1.36232231052552e-06,1.15006474787049,0.009,0.004,0.0413396705128969,"APOA1-AS","ENSG00000235910"
1.34377041195646e-06,1.06998143698575,0.009,0.004,0.0407767131508187,"","ENSG00000267476"
1.31217507579871e-06,4.64756440734131,0.001,0,0.0398179526751119,"","ENSG00000214546"
1.31217507579871e-06,4.64756440734131,0.001,0,0.0398179526751119,"","ENSG00000225647"
1.31217507579871e-06,4.64756440734131,0.001,0,0.0398179526751119,"B3GNT6","ENSG00000198488"
1.31217507579871e-06,4.64756440734131,0.001,0,0.0398179526751119,"","ENSG00000227914"
1.3121750070594e-06,6.52203352525745,0.001,0,0.0398179505892175,"IBSP","ENSG00000029559"
1.31217497449868e-06,5.95012717736174,0.001,0,0.0398179496011625,"FDCSP","ENSG00000181617"
1.31217447885217e-06,5.20010543037009,0.001,0,0.0398179345607691,"CCL22","ENSG00000102962"
1.31217404109152e-06,4.98860132517637,0.001,0,0.0398179212769222,"","ENSG00000285521"
1.31217375889877e-06,4.82813665298313,0.001,0,0.039817912713783,"","ENSG00000255921"
1.31217375889877e-06,4.74067381173279,0.001,0,0.039817912713783,"ASTL","ENSG00000188886"
1.31217375889877e-06,4.74067381173279,0.001,0,0.039817912713783,"","ENSG00000285614"
1.31217375889877e-06,4.74067381173279,0.001,0,0.039817912713783,"","ENSG00000279687"
1.30752590806789e-06,1.97333456852306,0.004,0.001,0.0396768736803201,"LINC01397","ENSG00000258673"
1.2698134535008e-06,1.11371722234701,0.008,0.003,0.0385324892464818,"RHEBL1","ENSG00000167550"
1.20049894905422e-06,2.26674262340038,0.004,0.001,0.0364291406090503,"","ENSG00000235495"
1.18363286613861e-06,2.98860132517637,0.002,0,0.0359173393229762,"CLDN19","ENSG00000164007"
1.18165716247841e-06,3.40363882445522,0.002,0,0.0358573865954074,"ARMS2","ENSG00000254636"
1.18143492288672e-06,3.54802873379039,0.002,0,0.0358506427349974,"LINC02810","ENSG00000236648"
1.14939740398065e-06,1.06260190662015,0.006,0.002,0.0348784642237929,"BCAS1","ENSG00000064787"
1.14791061530154e-06,1.31440905703069,0.006,0.002,0.0348333476213253,"CBR1-AS1","ENSG00000230212"
1.10065360456753e-06,1.61514292964893,0.003,0.001,0.0333993336306016,"SLC52A1","ENSG00000132517"
1.0981677642334e-06,1.55304680855702,0.006,0.002,0.0333239008056624,"IL26","ENSG00000111536"
1.09069469855901e-06,1.87394034259625,0.005,0.002,0.0330971306277732,"NREP-AS1","ENSG00000250095"
1.08110399198208e-06,1.45890284331741,0.005,0.002,0.0328061006366964,"P4HA2-AS1","ENSG00000237714"
1.01064281028554e-06,1.62519659431285,0.002,0,0.0306679560781146,"FAM83A","ENSG00000147689"
1.0065772002716e-06,2.79956750078636,0.002,0,0.0305445851422416,"LINC01805","ENSG00000223863"
9.78335627025353e-07,1.89267690517784,0.004,0.001,0.0296875946020843,"ATP2B3","ENSG00000067842"
9.20210655072183e-07,2.39275050831248,0.002,0,0.0279237923281654,"","ENSG00000287410"
9.18703736275315e-07,1.10745614240441,0.005,0.001,0.0278780648772744,"CA5A","ENSG00000174990"
9.1691499442693e-07,2.94230767290244,0.002,0,0.0278237855058852,"","ENSG00000253356"
9.15634649836109e-07,3.13299123451155,0.002,0,0.0277849334492767,"NPIPB7","ENSG00000233232"
9.14911742827397e-07,3.44111352987388,0.002,0,0.0277629968360974,"CPNE7","ENSG00000178773"
9.11184777759826e-07,1.9105988131751,0.003,0,0.0276499020811219,"LINC01498","ENSG00000247213"
9.00887676999815e-07,2.13299123451155,0.003,0.001,0.0273374365585594,"","ENSG00000287195"
8.73037269657602e-07,1.01529619184179,0.007,0.003,0.0264923159477599,"GRB14","ENSG00000115290"
7.95746351483934e-07,1.21872110853743,0.008,0.003,0.02414692303578,"","ENSG00000258525"
7.75266874998575e-07,1.34909528527793,0.011,0.005,0.0235254733218318,"C15orf48","ENSG00000166920"
