"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
1.64329019066809e-06,1.4752563526755,0.009,0.003,0.0498656408358231,"AURKA","ENSG00000087586"
1.64068151807486e-06,1.51867863296663,0.009,0.003,0.0497864806659817,"MFSD12-AS1","ENSG00000267436"
1.56489506538391e-06,1.12636121018787,0.015,0.007,0.0474867407590748,"POLG-DT","ENSG00000261441"
1.55717323114514e-06,1.1025144682335,0.009,0.003,0.0472524216990993,"TXK","ENSG00000074966"
1.53593109495988e-06,3.2031768072387,0.002,0,0.0466078290765575,"NPPC","ENSG00000163273"
1.53524051020429e-06,3.35517990068375,0.002,0,0.0465868732821493,"","ENSG00000287175"
1.53317026401256e-06,3.61821430651754,0.002,0,0.0465240516614612,"ETNK1-DT","ENSG00000257023"
1.53317026401256e-06,3.61821430651754,0.002,0,0.0465240516614612,"RAD21L1","ENSG00000244588"
1.53317026401256e-06,3.61821430651754,0.002,0,0.0465240516614612,"BMPR1B-DT","ENSG00000249599"
1.53317026401256e-06,3.61821430651754,0.002,0,0.0465240516614612,"","ENSG00000268289"
1.53317026401256e-06,3.61821430651754,0.002,0,0.0465240516614612,"LINC01543","ENSG00000263862"
1.53317026401256e-06,3.61821430651754,0.002,0,0.0465240516614612,"","ENSG00000229192"
1.53247903643544e-06,3.77021739996259,0.002,0,0.0465030763606336,"PIMREG","ENSG00000129195"
1.53247903643544e-06,3.77021739996259,0.002,0,0.0465030763606336,"MRLN","ENSG00000227877"
1.52143670632122e-06,1.24974362569315,0.015,0.007,0.0461679968533173,"RNFT1-DT","ENSG00000267302"
1.448248805396e-06,1.86332680435407,0.007,0.002,0.0439471099997415,"","ENSG00000272275"
1.42622729710302e-06,2.21382405143821,0.005,0.001,0.0432788673305911,"CCNB2","ENSG00000157456"
1.38869148087709e-06,1.96912146837667,0.006,0.002,0.0421398429872152,"PCDH11X","ENSG00000102290"
1.3731192834107e-06,1.1025144682335,0.017,0.008,0.0416673046550977,"ABCB4","ENSG00000005471"
1.36931484208342e-06,3.03325180579639,0.003,0,0.0415518588830215,"SLC6A13","ENSG00000010379"
1.36931484208342e-06,3.03325180579639,0.003,0,0.0415518588830215,"","ENSG00000286089"
1.36931484208342e-06,3.03325180579639,0.003,0,0.0415518588830215,"PPP1R35-AS1","ENSG00000240211"
1.36773238093983e-06,1.54139870946671,0.009,0.003,0.0415038390996191,"","ENSG00000261071"
1.36677648258165e-06,3.35517990068375,0.003,0,0.04147483236394,"SND1-DT","ENSG00000240790"
1.36677648258165e-06,3.35517990068375,0.003,0,0.04147483236394,"LINC02574","ENSG00000233975"
1.36677648258165e-06,3.35517990068375,0.003,0,0.04147483236394,"WNT16","ENSG00000002745"
