"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
1.64217512531e-06,5.32061116641537,0.097,0,0.0498318041775319,NA,"ENSG00000285875"
1.63860476833432e-06,5.18454961683934,0.097,0,0.0497234616951049,"MUC20-OT1","ENSG00000242086"
1.59184378987998e-06,3.81835125502446,0.121,0.014,0.048304499803908,"IRAK2","ENSG00000134070"
1.18524353578294e-06,1.98175267557813,0.213,0.073,0.0359662150933335,NA,"ENSG00000269028"
1.17210580722756e-06,1.59459587180971,0.333,0.178,0.0355675507203205,"SLC9A9","ENSG00000181804"
1.14207448737838e-06,6.11138320427737,0.099,0,0.034656250319497,"","ENSG00000253496"
1.13718765964252e-06,5.30611159672026,0.099,0,0.0345079595318524,NA,"ENSG00000205485"
1.10540792959817e-06,1.70269824389293,0.23,0.082,0.0335436036236565,"MIR100HG","ENSG00000255248"
1.00892868920172e-06,5.6935632643272,0.1,0,0.0306159410738262,"ZNF804A","ENSG00000170396"
9.1846184077712e-07,1.13294458258579,0.353,0.192,0.0278707245583817,"ABR","ENSG00000159842"
8.53386871697998e-07,2.13281974417955,0.359,0.219,0.0258960246216757,"FRMD4B","ENSG00000114541"
7.46972524012538e-07,2.08752143651918,0.203,0.064,0.0226668812411605,"CCL3L3","ENSG00000276085"
6.97811790788778e-07,6.09038290566482,0.103,0,0.0211750987914855,"MITA1","ENSG00000285744"
5.88592058273199e-07,2.06721445319882,0.26,0.11,0.0178608260083002,"COL14A1","ENSG00000187955"
5.69825587780352e-07,2.68457448109995,0.211,0.073,0.0172913574611948,"PDE4B","ENSG00000184588"
5.19778432427669e-07,2.08556052220798,0.237,0.087,0.0157726765320176,"RERG","ENSG00000134533"
5.14993670373299e-07,2.34513348554944,0.173,0.041,0.0156274829274777,"ZNF710","ENSG00000140548"
4.48454129714901e-07,3.1813753690442,0.161,0.032,0.0136083405661987,"VEGFC","ENSG00000150630"
3.53786933155625e-07,1.15171629357155,0.25,0.087,0.0107356644866075,"FARS2","ENSG00000145982"
3.3000721698179e-07,2.69315562739276,0.254,0.105,0.0100140689993124,"SLC8A1","ENSG00000183023"
2.94009204328095e-07,6.44493930141757,0.109,0,0.00892170930533604,"","ENSG00000280441"
2.75126043032253e-07,1.91731552067602,0.241,0.087,0.00834869977581372,"CD58","ENSG00000116815"
2.01415641626004e-07,1.23100647416244,0.715,0.744,0.00611195764514108,"GAPDH","ENSG00000111640"
1.80809513537663e-07,1.18675541968058,0.472,0.274,0.00548666468830038,"NDUFS5","ENSG00000168653"
1.6520822985996e-07,2.08928562030892,0.237,0.082,0.00501324373510049,"LYN","ENSG00000254087"
1.50136823845241e-07,1.44614204849923,0.248,0.082,0.00455590191958384,"ACYP2","ENSG00000170634"
1.34480256473835e-07,1.08818122236711,0.375,0.183,0.00408080338269852,"PGAM1","ENSG00000171314"
9.78331606007127e-08,4.43830620908513,0.126,0.005,0.00296874725842863,"TMEM51","ENSG00000171729"
8.01502798591282e-08,2.09101495230008,0.333,0.164,0.00243216024232525,"ITGB8","ENSG00000105855"
8.00336203197446e-08,2.271303526191,0.348,0.178,0.00242862020860265,"ITGBL1","ENSG00000198542"
5.45500192695667e-08,3.87751738200555,0.167,0.027,0.001655320334735,"SLC16A10","ENSG00000112394"
3.67452394153543e-08,2.21710659066151,0.255,0.091,0.00111503429005893,"RIN3","ENSG00000100599"
3.58837598018731e-08,1.30669438608019,0.293,0.11,0.00108889269118784,"BTBD9","ENSG00000183826"
3.37834665490816e-08,1.93548924504081,0.224,0.059,0.00102515929243188,"PRKG1","ENSG00000185532"
2.89131154470307e-08,2.88342052489798,0.217,0.059,0.000877368488240147,"PCSK6","ENSG00000140479"
1.67766784062428e-08,4.62628990965766,0.147,0.009,0.000509088306237439,"ADGRB3","ENSG00000135298"
