"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
1.39713125249021e-06,1.31697840060248,0.282,0.119,0.0423959478568154,"PROCR","ENSG00000101000"
7.14474822352418e-07,2.00643435108465,0.242,0.091,0.0216807384842841,"CYTOR","ENSG00000222041"
6.8056260884884e-07,4.97886977975656,0.113,0.005,0.020651672365518,NA,"ENSG00000255823"
6.24538616928863e-07,1.76641144803102,0.295,0.142,0.0189516243307064,"PLAUR","ENSG00000011422"
1.937264264717e-07,4.14960008127052,0.139,0.014,0.00587862841128374,"MIR155HG","ENSG00000234883"
1.80095652363771e-07,4.22488820857476,0.139,0.014,0.00546500257097862,"IRAK2","ENSG00000134070"
1.35564032298313e-07,2.85456235810231,0.184,0.041,0.0041136905600923,"PTGDS","ENSG00000107317"
1.3273139643706e-07,2.242709485662,0.233,0.073,0.0040277342248826,NA,"ENSG00000269028"
6.27838300465547e-08,3.04520486933252,0.208,0.055,0.0019051753227627,"PIK3R5","ENSG00000141506"
5.62098783994279e-08,1.12023802163918,0.498,0.279,0.00170568876003064,"NDUFB4","ENSG00000065518"
3.98912208169815e-08,2.68209516209754,0.214,0.055,0.0012104990956913,"TREM1","ENSG00000124731"
3.61757272096571e-09,1.969249430751,0.394,0.192,0.000109775244217704,"MAP3K8","ENSG00000107968"
1.04045408405933e-09,3.72471479603533,0.198,0.027,3.15725791807803e-05,"THY1","ENSG00000154096"
8.8120568305907e-10,1.36508513557103,0.402,0.169,2.67401864524275e-05,"HNRNPA0","ENSG00000177733"
3.6456887196043e-10,1.02472416584833,0.731,0.466,1.10628424196393e-05,"RABAC1","ENSG00000105404"
2.08263583724273e-10,1.24406476527401,0.473,0.224,6.31975844811308e-06,"HSPE1","ENSG00000115541"
1.68759674567295e-10,2.38545722603421,0.268,0.064,5.12101232474458e-06,"CCL3L3","ENSG00000276085"
1.56763718333229e-10,1.14705339916017,0.507,0.256,4.75699503282184e-06,"ATP1B3","ENSG00000069849"
1.01600525888572e-10,3.51042672232718,0.262,0.064,3.0830679580887e-06,"LUCAT1","ENSG00000248323"
4.89171720044538e-11,1.82029245601756,0.281,0.064,1.48439158447515e-06,"IL1B","ENSG00000125538"
4.12885801656876e-11,3.80261328878273,0.246,0.046,1.25290196512779e-06,"IGKC","ENSG00000211592"
1.28594578245626e-11,1.02462016159202,0.669,0.384,3.90220247686353e-07,"CSTB","ENSG00000160213"
1.14724805669108e-11,1.4587890643272,0.443,0.183,3.48132422802907e-07,"OSTC","ENSG00000198856"
4.22941245150469e-13,5.92344574113787,0.213,0.005,1.2834152084091e-08,"CSN1S1","ENSG00000126545"
3.10850265612022e-13,1.08457251441457,0.625,0.311,9.43275130999681e-09,"UQCRH","ENSG00000173660"
3.48931264001742e-14,1.04519347656178,0.889,0.598,1.05883192061329e-09,"SQSTM1","ENSG00000161011"
1.39972715921862e-14,5.04441784457846,0.266,0.027,4.2474720646489e-10,"CXCL1","ENSG00000163739"
1.18653807598617e-14,1.2801978111123,0.698,0.493,3.60054979158004e-10,"PRELP","ENSG00000188783"
7.94598595234602e-15,1.04827889382723,0.651,0.301,2.4112094372394e-10,"ATP5ME","ENSG00000169020"
6.69999087211751e-15,1.10777990557589,0.564,0.242,2.03311223014406e-10,"CRYAB","ENSG00000109846"
4.43620415744093e-15,1.01323140376744,0.878,0.612,1.34616615157545e-10,"PRDX1","ENSG00000117450"
4.20811111272538e-15,1.14516101610402,0.635,0.306,1.27695131715652e-10,"SNRPD2","ENSG00000125743"
2.96983762538102e-15,1.15596024604996,0.663,0.32,9.0119722742187e-11,"NDUFA11","ENSG00000174886"
2.66635056939974e-15,1.04499503804121,0.66,0.301,8.09104080284352e-11,"ATP5PF","ENSG00000154723"
2.2598155439091e-15,2.41191868701973,0.339,0.064,6.85741026799215e-11,"CCL4L2","ENSG00000276070"
2.09629010629819e-15,1.07079851356292,0.583,0.228,6.36119232756186e-11,"SLC39A14","ENSG00000104635"
6.73000589257755e-16,1.2505289901213,0.569,0.233,2.04222028810266e-11,"TCEAL9","ENSG00000185222"
6.23168112967036e-16,1.24506609051239,0.588,0.26,1.89100363879847e-11,"FIS1","ENSG00000214253"
