"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
1.44657425935492e-06,1.37416418197283,0.165,0.08,0.0438962959001251,"FGFBP2","ENSG00000137441"
9.9058329623263e-07,2.20408272015539,0.113,0.042,0.0300592501241792,NA,"ENSG00000255823"
9.80944803357346e-07,4.03419008318855,0.059,0.01,0.0297667700578787,"TPSB2","ENSG00000197253"
9.66794027907934e-07,1.54427376082579,0.191,0.098,0.0293373647768663,"MRPS24","ENSG00000062582"
9.34077862589776e-07,1.36413727106213,0.295,0.205,0.0283445927402868,"PLAUR","ENSG00000011422"
5.76816971679437e-07,2.26545877230142,0.122,0.046,0.0175035110056125,"PHLDA2","ENSG00000181649"
4.46228878455929e-07,3.03166347126275,0.08,0.019,0.0135408153167452,"IGLC1","ENSG00000211675"
3.31630586590264e-07,1.15012635912708,0.255,0.151,0.0100633301500816,"KDM6B","ENSG00000132510"
1.91922444717826e-07,1.42302581726707,0.213,0.112,0.00582388658496242,"MAP2K3","ENSG00000034152"
1.41718586843315e-07,1.2438809366343,0.232,0.127,0.00430045051776038,"INSIG1","ENSG00000186480"
1.24711461059846e-07,3.08552107526427,0.084,0.019,0.00378436928586103,"FABP3","ENSG00000121769"
9.67683107640648e-08,1.08833108470075,0.271,0.16,0.00293643439013555,"TNFAIP3","ENSG00000118503"
9.08827213550691e-08,2.98923276020528,0.098,0.027,0.00275783617951957,"TRAF1","ENSG00000056558"
8.76869400491597e-08,1.05270089782059,0.326,0.199,0.00266086019579175,"ATP5F1B","ENSG00000110955"
8.71460980711898e-08,5.94032315972433,0.045,0,0.00264444834597025,"","ENSG00000236069"
8.46875652882426e-08,1.26981502074712,0.232,0.119,0.00256984416867172,"NUCB2","ENSG00000070081"
6.77669867869476e-08,2.80866051456345,0.097,0.026,0.00205638921404992,"IL6","ENSG00000136244"
4.83538172380661e-08,3.24517774125275,0.087,0.019,0.00146729658408912,"SCRG1","ENSG00000164106"
4.68048687656223e-08,1.55457506545714,0.227,0.119,0.00142029374269281,"EIF5A","ENSG00000132507"
4.12587850828291e-08,1.75018797129516,0.262,0.152,0.00125199783333845,"LUCAT1","ENSG00000248323"
2.39046222797531e-08,1.22312794763281,0.285,0.16,0.000725385763079107,"NDUFB7","ENSG00000099795"
2.33530150726967e-08,1.33116271121085,0.324,0.207,0.000708647242380982,"CD83","ENSG00000112149"
1.24746841655217e-08,2.35875124820395,0.162,0.066,0.000378544291002757,"SERPINB9","ENSG00000170542"
9.57896949408459e-09,1.48972392110718,0.168,0.066,0.000290673829297997,"RGS1","ENSG00000090104"
7.81937151744112e-09,1.0146113884706,0.337,0.196,0.000237278828696751,"RBX1","ENSG00000100387"
7.03487530738567e-09,1.02031706432555,0.365,0.223,0.000213473291202618,"SUB1","ENSG00000113387"
5.27649659328417e-09,1.31229193711129,0.3,0.167,0.000160115289123208,"NDUFB1","ENSG00000183648"
3.98103965439002e-09,1.06257890977533,0.304,0.163,0.000120804648312465,"MRFAP1","ENSG00000179010"
2.77022822469918e-09,1.27679787707607,0.207,0.09,8.40625754784965e-05,"HEXIM1","ENSG00000186834"
1.12987590786328e-09,1.18669050241764,0.337,0.191,3.42860844241113e-05,"ATP5MJ","ENSG00000156411"
7.55324779935188e-10,3.79145977380985,0.078,0.008,2.29203304471333e-05,"MFSD2A","ENSG00000168389"
6.19373114601098e-10,5.43782281919515,0.064,0.002,1.87948771625703e-05,"NPHS1","ENSG00000161270"
4.05758066564746e-10,3.60774782063746,0.087,0.011,1.23127285299072e-05,"MMP9","ENSG00000100985"
3.34606704378246e-10,4.06663960950573,0.084,0.01,1.01536404443579e-05,"IL1A","ENSG00000115008"
2.97851624691097e-10,1.44243944726552,0.269,0.131,9.03830755125133e-06,"LAMTOR5","ENSG00000134248"
1.47483718916466e-10,7.11024816116664,0.064,0,4.47539345052015e-06,"IGHGP","ENSG00000253755"
9.23649962840377e-11,3.26467391687855,0.107,0.019,2.80281581223912e-06,"MT1A","ENSG00000205362"
3.73649154856356e-11,5.87078222647125,0.08,0.005,1.13383836041161e-06,"SLC7A11","ENSG00000151012"
3.3108632646249e-11,5.12898472374823,0.072,0.002,1.00468145765042e-06,"CCL20","ENSG00000115009"
1.29766583936601e-11,1.1659102620149,0.339,0.171,3.93776698955616e-07,"LAMTOR4","ENSG00000188186"
6.58717183664987e-12,1.31129041326621,0.32,0.157,1.9988772938314e-07,"COPE","ENSG00000105669"
5.02384773152043e-12,2.35004685910671,0.175,0.054,1.52448659412987e-07,"DKK3","ENSG00000050165"
2.71184227164673e-12,1.08075291818753,0.391,0.21,8.22908537331201e-08,"GNG5","ENSG00000174021"
1.41278816750409e-12,1.07906435376046,0.372,0.192,4.28710569429115e-08,"SPCS2","ENSG00000118363"
8.41044915025355e-13,5.52528566044549,0.087,0.003,2.55215079464444e-08,"TEX14","ENSG00000121101"
3.01106753450546e-13,2.33472932623104,0.214,0.075,9.13708443345681e-09,"TREM1","ENSG00000124731"
7.183216106046e-14,3.94400820653219,0.139,0.026,2.17974692737966e-09,"MIR155HG","ENSG00000234883"
4.95568339082955e-15,2.14931772584523,0.242,0.085,1.50380212494723e-10,"CYTOR","ENSG00000222041"
1.59784287513183e-16,1.46827661573686,0.352,0.154,4.84865420458753e-12,"ATP5MC3","ENSG00000154518"
1.61090146258973e-17,1.65859149805193,0.353,0.149,4.88828048822854e-13,"ATP5MF","ENSG00000241468"
2.72834035433914e-18,1.36405876452309,0.268,0.083,8.27914880524211e-14,"CCL3L3","ENSG00000276085"
