type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME,Abortive elongation of hiv 1 transcript in the absence of tat,0.00233556509553573,0.0436325063350816,-0.488797678863401,-1.87099719200312,104,23,POLR2C|POLR2B|POLR2E|POLR2K|POLR2G|CTDP1|POLR2I|NELFCD|POLR2H|NELFB|GTF2F1|SUPT4H1|NCBP2|NELFE|NELFA
REACTOME,Activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3,0.000641272284211876,0.0219813888532627,-0.383697534714213,-1.75240483882339,4,50,H2AC7|H3C13|H4C14|H2AC20|H4C15|H4C5|H2BC21|H2AJ|H2AC8|H3C1|H2BC3|H2BC12|H3C10
REACTOME,Activation of anterior hox genes in hindbrain development during early embryogenesis,0.0031055900621118,0.0473123226746415,-0.267193762000932,-1.38252032103246,0,105,H2AC7|H3C13|H4C14|H2AC20|PAX6|H4C15|H4C5|H2BC21|H2AJ|H2AC8|H3C1|H2BC3|RARA|JUN|H2BC12|H3C10|POLR2C|YY1|POLR2B|RBBP7|HOXA2|H2BC4|RBBP4|H2BC7|POLR2E|RXRA|POLR2K|POLR2G|H2AX|H4C8|HOXB3
REACTOME,Activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s,0.00152439024390244,0.0362663845294775,-0.353739514500584,-1.66882566621874,6,59,RPS4Y1|FAU|EIF4G1|EIF4H|RPS21|EIF3B|RPS27|RPS11|EIF2S2|EIF3I|EIF3M|RPS9|RPS8|EIF3G|RPS29|RPS27A|EIF3D|EIF4A1|RPS16|RPS7|EIF3K|EIF1AX|EIF3A|RPS28|EIF2S1|RPS24|RPS5|RPS14|EIF2S3|RPS25|RPS10|RPS3A|RPS2|RPS23|RPS13|RPS12|RPS15|EIF4EBP1|RPS18|EIF4B|RPS6|RPS15A|RPS19|EIF4A2|RPS3|EIF3L|EIF3F|RPS20|RPSA|RPS27L|EIF3J|EIF3H|EIF3E|EIF4E|EIF3C|RPS26|RPS4X
REACTOME,Advanced glycosylation endproduct receptor signaling,0.00011292127334134,0.0132038,-0.76803883629625,-2.45629982943256,10,13,SAA1|S100A12|MAPK3|LGALS3|HMGB1|DDOST
REACTOME,Amyloid fiber formation,0.0010752688172043,0.0308577144286072,-0.324505304236904,-1.62522753641976,0,87,SAA1|H2AC7|H3C13|H4C14|APOE|H2AC20|GSN|SNCA|H4C15|FURIN|H4C5|H2BC21|H2AC8|H3C1|MFGE8|TSPAN14|H2BC3|H2BC12
REACTOME,Apoptosis induced dna fragmentation,0.000482481804276637,0.019846084882579,-0.715112038740466,-2.28703223817948,46,13,H1-4|H1-3|H1-2|HMGB2|HMGB1|H1-5|H1-0
REACTOME,Assembly of the orc complex at the origin of replication,0.00123323570217358,0.0324942068674953,-0.366465812615691,-1.69455717070581,7,53,H2AC7|H3C13|H4C14|H2AC20|H4C15|H4C5|H2BC21|H2AJ|H2AC8|H3C1|H2BC3|H2BC12|H3C10
REACTOME,Asymmetric localization of pcp proteins,0.00251046025104603,0.0436325063350816,-0.331065112539323,-1.5818994092725,8,63,VANGL2|FZD7|PSMD13|FZD5|PSMA4|PSMD7|PSMA6|PSMB8|PSMB1|PSMD10|PSMD12|PSMB4|PSMD9|PSMD3|PSMD6|PSMC6|PSMA3|PSMA5|UBC|FZD4|PSMA7|PSME1|PSMD8|DVL2|PSMB3|PSMB9|PSMA1|PSMC5|PSMD11|PSMA2|PSMF1|PSMB6|PSMD4|FZD3|PSME2|PSMB2|RPS27A|PSMD2|PSMC1|PSME3|UBA52|PSMC3|PSMC4
REACTOME,Auf1 hnrnp d0 binds and destabilizes mrna,0.000160462130937099,0.0132038,-0.407911324584276,-1.89718487526919,0,54,PSMD13|PSMA4|HNRNPD|PSMD7|PSMA6|PSMB8|PSMB1|PSMD10|PSMD12|PSMB4|PSMD9|PSMD3|EIF4G1|PSMD6|PSMC6|PSMA3|PSMA5|UBC|PSMA7|PSME1|PSMD8|PSMB3|PSMB9|PSMA1|PSMC5|PSMD11|PSMA2|PSMF1|PSMB6|PSMD4|PSME2|PSMB2|RPS27A|PSMD2|PSMC1|PSME3|UBA52|PSMC3|PSMC4
