type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK,Adipogenesis,0.000269323996768112,0.00547171175223286,-0.434793433288495,-2.12515212269568,0,200,ORM1|ADIPOQ|CYP4B1|CIDEA|FABP4|C3|LIPE|RETN|LPL|ACADL|CD36|APOE|MRAP|ABCA1|PTGER3|PLIN2|LEP|RIOK3|ENPP2|ITGA7|GPX3|ADCY6|PIM3|PDCD4|COL4A1|DBT|BAZ2A|CAVIN2|PHLDB1|CPT2|BCL6|IFNGR1|LPCAT3|TANK|TST|SLC25A1|FZD4|RREB1|MAP4K3|G3BP2|TOB1|PTCD3|GPAT4|SNCG|IMMT
HALLMARK,Epithelial mesenchymal transition,2.00762899016262e-06,0.000100381449508131,0.530069212688054,1.63488019774037,1,199,LRRC15|GREM1|CXCL6|BGN|COMP|CXCL8|FMOD|CXCL1|INHBA|THY1|TNC|FBN2|DKK1|MXRA5|TGFBI|IL6|IGFBP3|MMP3|EDIL3|TNFRSF12A|TNFRSF11B|BDNF|SERPINE1|SFRP4|SDC1|CAPG|LUM|COL8A2|MMP1|CAP2|GEM|MATN2|COL1A1|COL3A1|LOXL1|ID2|CCN2|FAP|COL5A1|PCOLCE|SERPINE2|TFPI2|FGF2|ECM1|CCN1|ELN|TGM2|NT5E|SLIT3|PTHLH|SPARC|COL5A2|SGCD|TIMP1|SFRP1|CD44|SCG2|LOXL2|PLAUR|LGALS1|VEGFC|ADAM12|PDLIM4|SLIT2|COL1A2|PMEPA1|NID2|CD59|AREG|ECM2|HTRA1|PCOLCE2|LOX|EFEMP2|WNT5A|COL6A2|TPM4|TNFAIP3|MGP|CADM1|BASP1|GADD45B|NNMT|FSTL1|TGFB1|CALU|QSOX1|POSTN|EMP3|PLOD2|COL16A1|SGCB
HALLMARK,Spermatogenesis,0.00124477175440316,0.0155596469300395,0.504659280640673,1.51940348807655,1218,114,TULP2|GSG1|LDHC|TKTL1|CFTR|ZPBP|MTNR1A|CLVS1|IL12RB2|CLGN|MEP1B|DDX25|NEFH|CAMK4|DCC|EZH2|ODF1|BUB1|NAA11|AURKA|TNNI3|CCNB2|PACRG|SCG5|IL13RA2|TTK|NEK2|STRBP|DMC1|KIF2C|NOS1|SLC12A2|CDKN3|HSPA1L|RPL39L
HALLMARK,Tnfa signaling via nfkb,0.000328302705133972,0.00547171175223286,0.478351908165509,1.47495095765193,326,197,CXCL6|CXCL3|IL1A|CXCL1|INHBA|TNC|CCL20|TNFRSF9|CXCL2|FOSL1|BCL2A1|IL6|CCL2|LIF|TNFAIP6|SERPINE1|IL23A|RCAN1|MSC|BMP2|TRAF1|IER3|SIK1|CSF2|BIRC3|CCND1|GEM|NR4A3|IL1B|NFKB1|ID2|GCH1|OLR1|PTGS2|CD83|PHLDA1|PLK2|CLCF1|CCN1|ICAM1|TLR2|TIPARP|TNF|F3|PHLDA2|TUBB2A|SPHK1|TRIB1|LDLR|DUSP5|CD44|EGR2|DUSP4|PLAUR|KDM6B|CXCL10|NR4A2|DENND5A|PMEPA1|CDKN1A|AREG|TNFAIP8|RELB|RIPK2|PLPP3|PPP1R15A|MXD1|ZC3H12A|TNFAIP3|EHD1|GADD45B|GFPT2|TNIP1|MYC|MAP3K8|NFKBIA|CCL4|REL|ZFP36|EGR1|SOCS3|MAP2K3|JUNB|TSC22D1|SQSTM1|KLF6|TGIF1|LAMB3|SPSB1|IRF1|EGR3|PFKFB3|B4GALT5
REACTOME,Assembly of active lpl and lipc lipase complexes,0.000934039257392551,0.048332507589338,-0.674173282436288,-2.04247584440784,201,16,CIDEC|GPIHBP1|LPL|APOC2|ANGPTL8|PCSK5|FURIN
REACTOME,Collagen biosynthesis and modifying enzymes,0.000312884144834601,0.0277572934203267,0.578665913310607,1.67297853258422,294,67,COL2A1|TLL2|P3H2|COL26A1|COL23A1|COL8A1|P4HA3|COLGALT2|COL9A2|ADAMTS3|ADAMTS14|COL21A1|COL8A2|COL14A1|COL1A1|COL3A1|COL5A1|PCOLCE|TLL1|COL10A1|COL19A1|COL17A1|COL27A1|COL5A2|COL11A2|P4HA2|COL22A1|COL4A4|COL20A1|COL1A2|PCOLCE2|COL6A2|P4HA1|COL9A3|COL6A1|PLOD2|COL16A1|COL24A1|COL6A3|P4HB
REACTOME,Collagen formation,0.000466033896198717,0.0321563388377115,0.541505470196273,1.60512319459516,449,90,COL2A1|TLL2|P3H2|COL26A1|CTSV|COL23A1|COL8A1|P4HA3|MMP3|COLGALT2|COL9A2|ADAMTS3|ADAMTS14|COL21A1|COL8A2|COL14A1|COL1A1|COL3A1|MMP20|LOXL1|COL5A1|PCOLCE|TLL1|COL10A1|COL19A1|COL17A1|COL27A1|COL5A2|COL11A2|P4HA2|LOXL2|MMP13|COL22A1|COL4A4|COL20A1|COL1A2|CTSS|PCOLCE2|LOX|LOXL3|ITGB4|COL6A2|P4HA1|COL9A3|COL6A1|CTSL|PLOD2|COL16A1|COL24A1|PXDN|COL6A3|P4HB|LAMB3
REACTOME,Degradation of the extracellular matrix,0.000744126821919503,0.0401828483836531,0.49793686438252,1.5125901483219,733,135,ACAN|COL2A1|TLL2|MMP10|MMP24|COL26A1|CTSG|CTSV|COL23A1|FBN2|CDH1|TPSAB1|COL8A1|ADAMTS16|MMP3|ADAMTS18|COL9A2|CAPN8|COL8A2|MMP1|FBN3|COL14A1|COL1A1|COL3A1|CAPN9|MMP20|CTRB1|ADAMTS1|CAPN11|COL5A1|SPOCK3|OPTC|TLL1|ADAMTS8|COL10A1|ELN|COL19A1|COL17A1|COL5A2|SCUBE3|TIMP1|COL11A2|CD44|MMP13|MMP19|COL4A4|BCAN|CMA1|CAPN13|CTSK|COL1A2|CTSS|HTRA1|BSG
REACTOME,Ecm proteoglycans,0.000726703736958451,0.0401828483836531,0.553735253233736,1.61743894413371,691,75,ACAN|COL2A1|ASPN|BGN|COMP|FMOD|HAPLN1|TNC|SERPINE1|COL9A2|ITGAX|LUM|IBSP|TNN|COL1A1|COL3A1|PTPRS|ITGA2B|COL5A1|LRP4|TNR|NCAN|TGFB2|TGFB3|SPARC|COL5A2|ITGA9|MATN1|COL4A4|BCAN
REACTOME,Ethanol oxidation,8.74963860188384e-05,0.0108670511435397,-0.810960368904375,-2.18795555570029,22,11,ADH1B|ADH1C|ADH4|ALDH1A1|ACSS1|ADH5
