type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK,Allograft rejection,0.000202880908906472,0.000751299748565018,0.289247667359651,1.47582476812655,2,195,PRKCG|ACHE|IL6|HLA-G|IL11|NOS2|LIF|CCL7|INHBA|IL4|CXCR3|IL1B|IL10|F2|CAPG|KRT1|CCL22|THY1|PTPN6|IL13|CD79A|IRF4|PF4|RPL3L|CCL2|SOCS1|CRTAM|IL12A|NPM1|TNF|NME1|IL2RA|MMP9|SRGN|DYRK3|RPS19|ICAM1|IL27RA|RPS3A|EIF5A|RPL9|CCL4
HALLMARK,Apoptosis,4.11844652197191e-05,0.00029855737078437,0.336012955225867,1.67498264049981,0,159,IL6|BIK|TNFRSF12A|HMOX1|BGN|GUCY2D|IL1B|LUM|F2|BMP2|NEFH|IL1A|IER3|PMAIP1|DNAJA1|TNF|BIRC3|ISG20|GADD45B|SOD1|CLU|CCND1|NEDD9|EMP1|SQSTM1|PLAT|GCH1|PEA15|HSPB1|CDKN1A|KRT18|GADD45A|DCN|ANXA1|ETF1|CTH|EREG|PPT1|VDAC2|FDXR|CD44|FEZ1|BCAP31|EGR3|HMGB2|H1-0|SAT1|BAX|LMNA|BTG3|TSPO|ERBB3|SC5D|AIFM3|TIMP1|SLC20A1
HALLMARK,Cholesterol homeostasis,0.00557957358755497,0.0164105105516323,0.341863363379911,1.51929564988485,452,74,TNFRSF12A|ACAT2|FADS2|HMGCS1|ALDOC|MAL2|SQLE|IDI1|DHCR7|PLAUR|CYP51A1|CLU|TMEM97|ALCAM|LDLR|MVD|STARD4|SEMA3B|PMVK|FABP5|ETHE1|HSD17B7|HMGCR|CXCL16|ACTG1|CD9|SC5D|ANXA5|PCYT2|FDPS|S100A11|ABCA2|ECH1|MVK|ATF3|CTNNB1|NSDHL|GUSB
HALLMARK,Coagulation,0.00818288753643942,0.0227302431567762,0.285430226492743,1.3765649237384,319,124,MMP10|CTSV|COMP|S100A1|PROC|TFPI2|F2|SERPINE1|SERPINC1|PF4|F3|THBD|CRIP2|LEFTY2|CLU|MMP9|APOA1|PLAT|SERPINA1|MASP2|DUSP14|F2RL2|PRSS23|SPARC|RABIF|CPN1|ANXA1|MAFF|ARF4|CD9|ISCU|F11
HALLMARK,Epithelial mesenchymal transition,7.11794433767528e-05,0.00029855737078437,0.412247867695849,2.10901069377903,0,199,COMP|IL6|TNFRSF11B|TGFBI|CXCL8|TNFRSF12A|SERPINE2|FMOD|INHBA|BGN|TFPI2|ID2|TGM2|LUM|CAPG|THY1|SERPINE1|EDIL3|GEM|AREG|PTHLH|LGALS1|SCG2|GREM1|LAMC2|PLAUR|GADD45B|CCN1|ECM1|CD59|COL8A2|PDLIM4|LRRC15|PCOLCE2|NT5E|CCN2|MXRA5|FGF2|FBN2|CXCL1|SLIT3|IGFBP3|SPP1|TNC|CAP2|MGP|SPARC|QSOX1|VIM|CXCL6|CADM1|PCOLCE|NNMT|TPM4|TGFB1|GADD45A|DCN|EMP3|GLIPR1|DKK1|LOXL2|CALU|SDC1|COL6A2|TPM2|POSTN|SFRP4|PPIB|COL1A1|ITGB1|CD44|LOX|GAS1|SAT1|PFN2|MYL9|PMP22|TIMP1|EFEMP2|FZD8|WNT5A|PLOD3|PLOD1|SGCB
HALLMARK,Estrogen response late,6.28535512256442e-05,0.00029855737078437,0.322647189933699,1.63934569307362,0,189,CA2|KRT19|SERPINA5|TPSAB1|RET|CDC20|SLC7A5|ST14|TFPI2|ID2|HSPB8|PTPN6|PTGES|PERP|TRIM29|GLA|AREG|CLIC3|SCUBE2|IL17RB|BATF|DNAJC12|TJP3|CELSR2|ISG20|DHCR7|TSPAN13|PAPSS2|LAMC2|PDLIM3|UGDH|CCND1|STIL|SERPINA1|XBP1|CDC6|CDH1|ZFP36|SLC16A1|SULT2B1|GJB3|AGR2|PRSS23|GPER1|SEMA3B|COX6C|SFN|FKBP4|SERPINA3|NXT1|FABP5|GFUS|GALE|MDK|MOCS2|IDH2|CD9|OLFM1|CD44|FGFR3|EGR3|DYNLT3|GINS2|CACNA2D2|BTG3
HALLMARK,Glycolysis,6.83060109289618e-05,0.00029855737078437,0.311285005076927,1.58991100409041,0,196,LDHC|BIK|TKTL1|TGFBI|CHST6|SLC16A3|SPAG4|SOX9|ANGPTL4|AURKA|HMMR|EGLN3|IER3|TPI1|LDHA|STC2|ALDOA|ISG20|PGAM1|SOD1|PKM|ENO1|PFKP|KDELR3|DDIT4|MIF|ALDOB|NT5E|HOMER1|IGFBP3|CHPF|TXN|PGK1|P4HA2|POLR3K|LCT|MIOX|GOT1|QSOX1|MDH2|FKBP4|PPIA|HSPA5|GFUS|DCN|GALE|SDC1|HAX1|CTH|G6PD|PRPS1|CD44|UGP2|FAM162A|GAL3ST1|LHX9|GMPPB|STMN1|TALDO1|B4GALT7|KIF20A|EFNA3|PSMC4|CYB5A|SDHC|PLOD1|CXCR4|HK2|MDH1|SDC2
HALLMARK,Hypoxia,6.83060109289618e-05,0.00029855737078437,0.389866610907812,1.99127232182797,0,196,LDHC|IL6|TKTL1|TGFBI|PKLR|HMOX1|BGN|BCAN|TGM2|IGFBP1|ANGPTL4|SERPINE1|HS3ST1|ALDOC|AMPD3|GAPDH|IER3|F3|ADM|TPI1|LDHA|STC2|ALDOA|ISG20|TGFB3|PLAUR|CCN1|PPP1R3C|ENO1|CSRP2|PFKP|GCK|KDELR3|DDIT4|MIF|ALDOB|CCN2|AKAP12|S100A4|PPP1R15A|IGFBP3|JMJD6|ZFP36|CAVIN3|CDKN1A|SULT2B1|PGK1|P4HA2|PHKG1
HALLMARK,Il2 stat5 signaling,0.000210363929598205,0.000751299748565018,0.290830481287999,1.48732426785499,2,198,CA2|CSF2|LIF|S100A1|TNFRSF9|IL1RL1|PENK|TGM2|IL10|CAPG|IL13|IRF4|SERPINC1|BMP2|DRC1|SOCS1|CD83|BATF|SOCS2|CCNE1|TNFRSF18|IL2RA|GADD45B|COCH|ICOS|ECM1|EMP1|NT5E|ALCAM|SELL|PRAF2|XBP1|ETV4|PNP|CDC6|SPP1|LRRC8C|TWSG1|ABCB1|PTGER2|MYC|TRAF1|GPR83|CTLA4|F2RL2|CCR4
HALLMARK,Inflammatory response,0.0129843781700142,0.0341694162368795,0.250328606746733,1.27724853022955,191,195,PROK2|CCL20|IL6|CXCL8|LIF|CCL7|CD70|INHBA|TNFRSF9|IL1B|IL10|OSM|CCL22|SERPINE1|BDKRB1|TNFAIP6|TACR3|RGS1|IL1A|CCL2|CCR7|F3|ADM|SPHK1|PLAUR|NDP|NFKB1|CLEC5A|LDLR|SELL|GCH1|ICAM1|CD55|IRAK2|PTGER2|CDKN1A|MYC
