type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME,Activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3,0.000138504155124654,0.0150146864301276,-0.478346500359047,-2.11993077584955,0,50,H3C13|H2AC7|H4C15|H3C4|H4C2|H2BC7|H4C4|H2AC20|H2AJ|H4C5|H3C1|H4C14|AR|H2BC3
REACTOME,Activation of gene expression by srebf srebp,0.00190444646849383,0.0461174782076447,-0.394923925320577,-1.69908831280474,22,42,SCD|SREBF1|DHCR7|FASN|NFYB|FDFT1|LSS|SP1|RXRA|FDPS|SC5D|TM7SF2|GPAM|TGS1|ACACB|MVK|CARM1|NFYC|TBL1XR1|GGPS1|MED1|HELZ2|MVD|HMGCR|CHD9|CYP51A1|MTF1|NFYA|NCOA6|PPARA|IDI1|NCOA2|SMARCD3|CREBBP|ELOVL6|NCOA1|HMGCS1|SREBF2|TBL1X|PMVK|ACACA|SQLE
REACTOME,Advanced glycosylation endproduct receptor signaling,0.000116814986300788,0.0150146864301276,-0.767360413821242,-2.40690214912388,10,13,SAA1|S100A12|MAPK3|LGALS3
REACTOME,Amyloid fiber formation,0.00125470514429109,0.0360362989116162,-0.372447953425667,-1.80159496265975,0,87,SAA1|H3C13|PRL|H2AC7|H4C15|H3C4|H4C2|H2BC7|H4C4|H2AC20|H4C5|GSN|H3C1|FURIN|H4C14|TSPAN14|APOE|H2BC3
REACTOME,Apoptosis induced dna fragmentation,0.000116814986300788,0.0150146864301276,-0.768364536021574,-2.41005167813063,10,13,H1-4|H1-2|H1-3|HMGB2|H1-5
REACTOME,Assembly of the orc complex at the origin of replication,0.00033206043499917,0.0168658245134858,-0.426705003918366,-1.91088970448902,1,53,H3C13|H2AC7|H4C15|H3C4|H4C2|H2BC7|H4C4|H2AC20|H2AJ|H4C5|H3C1|H4C14|H2BC3
REACTOME,B wich complex positively regulates rrna expression,0.00125078173858662,0.0360362989116162,-0.354066413138947,-1.6788547809376,1,75,H3C13|H2AC7|H4C15|H3C4|H4C2|H2BC7|H4C4|H2AC20|H2AJ|H4C5|H3C1|H4C14|H2BC3
REACTOME,Base excision repair,0.000769822940723634,0.0271637523369625,-0.356022761518445,-1.6930189815114,0,78,H2AC7|H4C15|H4C2|H2BC7|H4C4|H2AC20|H2AJ|H4C5|H4C14|POLD4|H2BC3
REACTOME,Base excision repair ap site formation,0.000138504155124654,0.0150146864301276,-0.454605775811843,-2.01471689308715,0,50,H2AC7|H4C15|H4C2|H2BC7|H4C4|H2AC20|H2AJ|H4C5|H4C14|H2BC3|H2BC8|MBD4|H2BC21|H2BC12|MPG|H2AX|TERF2|H2AC4
REACTOME,Condensation of prophase chromosomes,0.000210970464135021,0.0150146864301276,-0.425300940032534,-1.93277532384024,0,57,H3C13|H2AC7|H4C15|H3C4|H4C2|H2BC7|H4C4|H2AC20|H2AJ|H4C5|H3C1|H4C14|H2BC3
