type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK,Epithelial mesenchymal transition,2.97902764537655e-05,0.000297902764537655,0.331960230610795,1.69616126644026,0,199,CXCL8|INHBA|TGFBI|IL6|CXCL1|TNFRSF12A|SERPINE2|ID2|GEM|SCG2|EDIL3|LUM|BGN|SERPINE1|TFPI2|FMOD|GREM1|SPP1|CXCL6|CAPG|LRRC15|PTHLH|COMP|CADM1|TPM4|TNC|LOXL2|EMP3|FBN2|PCOLCE|PDLIM4|LGALS1|PLAUR|TGFB1|SPARC|DKK1|THY1|TNFRSF11B|CALU|AREG|TIMP1|MGP|ELN|APLP1|ITGB1|GLIPR1|PPIB|CD59|GADD45B|SDC4|ECM1|MXRA5|ADAM12|SAT1|FN1|SDC1|COL3A1|TPM2|PLOD1|MATN2|COL1A2|CCN2|GJA1|CD44|SNAI2|IGFBP3|COL1A1|SERPINH1|BDNF|LAMC2|COL5A1|TNFAIP3|SFRP4
HALLMARK,Hypoxia,0.000144483615557996,0.00120403012964996,0.297718743097142,1.52012925907471,4,196,TKTL1|LDHC|IGFBP1|TGFBI|IL6|HMOX1|ALDOB|B4GALNT2|PFKP|BGN|SERPINE1|PKLR|IER3|AMPD3|GAPDH|ANGPTL4|LDHA|TPI1|ENO1|STC2|NOCT|S100A4|PGK1|ALDOA|ERRFI1|MIF|EFNA3|PRKCA|HSPA5|PLAUR|ALDOC|UGP2|KDELR3|SLC2A1|CAVIN3|CDKN1A|JMJD6|P4HA2|HK2|PPP1R15A|PPP1R3C|HAS1|BHLHE40|MT2A|TIPARP|SDC4|SDC2|GLRX|ANXA2|PGF|TGFB3|BCAN|FAM162A|PRDX5|HK1|GCK|CCN2|P4HA1|SLC6A6|IGFBP3|GBE1|COL5A1|DDIT4|CXCR4|TNFAIP3|PYGM|SULT2B1|ISG20|TGM2|CCN1
HALLMARK,Inflammatory response,0.00171614896172988,0.00953416089849932,0.278004084791817,1.41921237795381,59,195,CCL22|CCL20|PROK2|CXCL8|INHBA|IL1A|IL1B|TNFRSF9|IL6|BDKRB1|CCL17|CLEC5A|LIF|RGS1|IL10|TNFAIP6|IRAK2|CD70|OSM|SERPINE1|CXCL6|NFKB1|CD55|PTGER2|GPR183|CCRL2|NDP|FFAR2|EMP3|CCL7|PLAUR|EREG|SPHK1|SELL|TIMP1|CDKN1A|CCL2|NFKBIA|PDPN|SLC1A2|NLRP3|SLC7A1|HBEGF|GP1BA|MYC|RNF144B|MXD1|GCH1|LY6E|SELENOS|IRF7
HALLMARK,Mtorc1 signaling,2.97902764537655e-05,0.000297902764537655,0.337752181989634,1.72575542465558,0,199,SLC7A11|SLC7A5|PIK3R3|PSAT1|GAPDH|LDHA|TPI1|ENO1|XBP1|GLA|PGK1|DHFR|ALDOA|AURKA|FADS2|MLLT11|INSIG1|IDI1|RRM2|HSPA5|CD9|SQSTM1|MTHFD2|ASNS|HSPE1|FKBP2|PNP|SQLE|EGLN3|TXNRD1|SLC2A1|CDKN1A|PRDX1|CALR|PNO1|MAP2K3|HK2|HMGCS1|PPP1R15A|BHLHE40|NFKBIB|PPIA|CYP51A1|ETF1|HSPD1|GLRX|SERP1|HMBS|PSMB5|PSMG1|TFRC|DDX39A|GCLC|RIT1|HSP90B1|TUBA4A|HSPA9|P4HA1|SLC6A6|GBE1|SERPINH1|SLC1A4|DDIT4|CXCR4|SEC11A|FDXR|ATP5MC1|EIF2S2|ATP6V1D|IFI30|RRP9|ELOVL5
HALLMARK,Myc targets v1,2.97902764537655e-05,0.000297902764537655,0.373064109083279,1.90618282967756,0,199,CDC20|KPNA2|NOP16|LDHA|H2AZ1|RAN|NME1|PGK1|NPM1|SNRPD2|PRDX4|HNRNPA1|HSP90AB1|EIF4E|PABPC1|HSPE1|NAP1L1|EIF4G2|RPS6|MAD2L1|SERBP1|EIF4A1|YWHAQ|HNRNPC|DDX21|SNRPG|GNL3|NOLC1|ILF2|YWHAE|MYC|RPS3|PSMA7|RPL6|EIF3J|PPIA|EEF1B2|COX5A|ETF1|HSPD1|SRSF2|RACK1|TYMS|RSL1D1|NOP56|IARS1|RPL34|RPS5|PSMA2|SNRPD1|ERH|TCP1|NDUFAB1|RPLP0|FBL|RPL14|EIF2S2|CCT2|RRP9|CCT5|RPL22|EIF1AX|VDAC1|RUVBL2|SLC25A3|PCNA|PSMC4|LSM7|NHP2|PSMD8|RPL18|IMPDH2|MCM5|PRPS2|CCT3|EIF3D|RANBP1|POLD2|PSMB3|RPS2|SNRPB2|UBE2L3|TUFM|PSMB2|HNRNPA2B1|CCT7|EIF4H|HPRT1|HDAC2|MRPL23|SET|RPS10|PSMA4|EIF2S1|VBP1|POLE3|KARS1
HALLMARK,Oxidative phosphorylation,0.00110947854508381,0.00792484675059865,0.278377019222615,1.4238528614558,36,200,LDHA|ATP1B1|UQCRQ|NDUFA1|COX7A2|NDUFB2|UQCRB|CYCS|COX8A|COX7B|UQCR11|ATP5F1E|ATP5ME|SLC25A6|CYB5R3|ATP5MF|NDUFA4|NDUFB4|SLC25A5|COX17|ATP5MG|UQCRH|ATP6V1G1|COX6B1|ATP5PF|COX4I1|ATP5F1B|COX6A1|COX6C|COX7C|ATP6V0C|NDUFB1|GRPEL1|OAT|ATP5MC3|COX5A|NDUFB3|ATP5MC2|COX5B|ATP6V0E1|HSPA9|BAX|NDUFB6|ATP5F1A|MGST3|ATP5PO|ISCU|NDUFC1|NDUFA6|IDH2|ATP6V0B|NDUFAB1|ATP5MC1|TIMM13|ATP6V1D|TIMM8B|NDUFB7|POLR2F|VDAC1|VDAC2|SLC25A3|ATP6V1F|TIMM17A|FH|ATP5PD|MDH2|TOMM22|SLC25A11|SDHC|MRPS15|NDUFC2|NDUFS7|COX7A2L|NDUFB5|NDUFS3
HALLMARK,Tnfa signaling via nfkb,2.92141396435875e-05,0.000297902764537655,0.41832701813533,2.13631972143258,0,197,CSF2|CCL20|INHBA|IL1A|IL1B|CXCL3|BCL2A1|TNFRSF9|IL6|IL23A|SERPINB2|CXCL1|FOSL1|LIF|SIK1|CXCL2|ID2|TNF|GEM|TNFAIP6|CCL4|SERPINE1|PHLDA2|CXCL6|IER3|NFKB1|DUSP4|CD83|MSC|BIRC3|PLK2|BMP2|MAP3K8|GPR183|TRAF1|RCAN1|CCRL2|CLCF1|SGK1|CCND1|GFPT2|NR4A3|HES1|TNC|PTGS2|ZC3H12A|SQSTM1|PLAUR|EHD1|SPHK1|RNF19B|AREG|TUBB2A|EGR2|CDKN1A|CCL2|NFKBIA|TSC22D1|MAP2K3|PHLDA1|NR4A2|HBEGF|PPP1R15A|TGIF1|MYC|BHLHE40|EIF1|RELB|KDM6B|MXD1|GCH1|REL|GADD45B|TIPARP|TNFAIP8|SDC4
HALLMARK,Unfolded protein response,1.26924492619341e-05,0.000297902764537655,0.397524055485949,1.88537576704875,0,112,CHAC1|IGFBP1|SLC7A5|PSAT1|ATF4|STC2|XBP1|HERPUD1|DNAJB9|NPM1|EIF4A3|HSPA5|MTHFD2|ASNS|EIF4E|KDELR3|TUBB2A|EIF4A1|EEF2|CCL2|CALR|PDIA6|ERN1|NOLC1|SERP1|H2AX|LSM1|NOP56|IARS1|ATF6|HSP90B1|RPS14|EIF4A2|TARS1|HSPA9|YIF1A|DKC1|BANF1|SLC1A4|DDIT4|SEC11A|KIF5B|SRPRB|RRP9
HALLMARK,Uv response up,0.00139944022391044,0.00874650139944022,0.294499974673691,1.46368066702188,69,157,CCK|CTSV|COL2A1|CA2|NKX2-5|IL6|HMOX1|CXCL2|CCNE1|RET|GGH|CYP1A1|DNAJA1|CDKN2B|BMP2|POLG2|CHRNA5|ALDOA|HSPA2|BSG|SQSTM1|NXF1|KCNH2|ASNS|CDO1|AMD1|DNAJB1|NFKBIA
REACTOME,Activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3,1.89350905097326e-05,0.00105287786616752,0.518728991538767,2.12469623712309,2,50,H3C12|H3C3|H2BC10|H3C8|H2BC11|H3C2|H4C9|H2BC5|H3C6|H2BC9|H2BC14|H2BC17|H2AZ1|H4C1|H2AC8|H3C10|H2BC3|H2BC6|H4C14|H3-3B|H2AC4|H2BC8|H2BC4|H2AC6|H2AX|H2BC15|H3C1|H3-3A|H4C4|H4C8
