type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK,Allograft rejection,0.0102040816326531,0.0446428571428572,0.211389025775345,1.3250771942981,0,195,INHBA|IL2RA|CCL22|LIF|MMP9|THY1|IL7|PRKCG|CD80|PRKCB|LYN|IL6|CCL2|NOS2|TLR2|ST8SIA4|LCP2|EREG|IL15|HDAC9|TIMP1|STAT4|IL1B|CD86|TGFB2|CAPG|ITGAL
HALLMARK,Dna repair,0.00197628458498024,0.024703557312253,0.251412789018547,1.50684431711452,0,150,PDE4B|DDB2|AK1|TMED2|CMPK2|ERCC2|TP53|TYMS|DAD1|RALA|TAF13|ERCC8|CCNO|POLH|GUK1|RAD52|NME1|POLL|CDA|AGO4|ELL|ERCC1|CETN2|POLA2|NFX1|POLA1|RBX1|POLR3C|SUPT5H|GTF2B|NT5C3A|VPS37D|GTF2H3|STX3|VPS37B|EDF1|DCTN4|ADA|RFC4|POM121|TK2|USP11|POLB|RFC3|SAC3D1|DGCR8|UPF3B|DGUOK|SNAPC4|GTF2H1|ERCC4|RPA3|SDCBP|POLR2A|POLR1C|AK3|POLR2F|GPX4|PCNA|DDB1|POLR2J|APRT|FEN1|NUDT9|AAAS|MPG|SEC61A1|TSG101|SNAPC5|CSTF3|RAE1|RFC2|POLR2I|MPC2|CLP1|RFC5|COX17|RRM2B|ADRM1|EIF1B|TAF12|TAF6|GTF3C5|BOLA2|BRF2|GTF2H5|ARL6IP1|POLD3|ZNF707|XPC|ADCY6|PNP|HPRT1|RPA2|NME4|ERCC3|ELOA|GTF2F1|NELFE|RNMT|ITPA|TAF1C|POLR2C|POLR1D|DUT|IMPDH2|POLR3GL|LIG1|SF3A3|NCBP2|GSDME|ERCC5|SURF1|POLD4|GTF2A2|POLR2E|BCAP31|POLR2H|SSRP1|NELFCD|TARBP2|POLR2G|VPS28|SMAD5|UMPS|NPR2|RAD51|POLR1H|SRSF6|POLR2D|POLR2K|CANT1|NME3|TAF9|NUDT21|MRPL40|HCLS1|ZWINT|PDE6G|NELFB|POLD1|SUPT4H1|POLE4|ALYREF|GMPR2|TAF10|NT5C|REV3L|PRIM1
HALLMARK,Epithelial mesenchymal transition,0.0120481927710843,0.0446428571428572,0.40770994093262,2.53834990807712,0,199,TNC|INHBA|CXCL1|BGN|TNFRSF12A|MMP1|COL3A1|COL1A1|LUM|THY1|VEGFC|FMOD|SFRP4|GREM1|LRRC15|PTHLH|MXRA5|HTRA1|CCN2|COL1A2|PCOLCE|GEM|SPARC|IL6|SGCD|VCAM1|CXCL8|FN1|ELN|MMP3|ID2|SGCG|TGFBI|SERPINE1|IL15|SERPINE2|COMP|EDIL3|PLAUR|TIMP1|FBN2|CXCL6|PDLIM4|COL5A1|CAPG|NID2|CD44|SDC1|PLOD1|CALU|EMP3|ECM2|BDNF|MGP|PMEPA1|FUCA1|EFEMP2|PLOD2|LGALS1|COL5A2
HALLMARK,Il2 stat5 signaling,0.0114942528735632,0.0446428571428572,0.219534248539084,1.35248833871168,0,198,PENK|IL2RA|CDCP1|LIF|TRAF1|ALCAM|SLC39A8|NOP2|LRRC8C|ADAM19|MAP3K8|DENND5A|TIAM1|ENPP1|XBP1|BCL2|PTH1R|CD86|CAPG|HK2|CD44|CXCL10|DRC1|SELL|ANXA4|MYO1E|TNFRSF18|CSF2|PHLDA1|BATF|TNFRSF21|RABGAP1L|TWSG1|TNFRSF9|CCNE1|RHOH|P2RX4|GUCY1B1|AHR|SELP|GLIPR2|ITGAV|MAPKAPK2|ECM1|CD83|LCLAT1|SNX9|PLAGL1|NRP1|IRF4|RORA|TNFSF11|IL10|IKZF4|APLP1|NCS1|CTSZ|CASP3|EMP1
HALLMARK,Il6 jak stat3 signaling,0.000168293503870751,0.00841467519353753,0.377793619930975,2.07917818976804,0,83,CXCL1|IL2RA|TNFRSF12A|PIK3R5|IL7|CSF2RA|EBI3|CRLF2|CXCL3|IL6|PDGFC|MAP3K8|TLR2|HMOX1|IL1B|CD44|PTPN1|CXCL10|CD38|CSF2|GRB2|CD9|TNFRSF21
HALLMARK,Inflammatory response,0.0102040816326531,0.0446428571428572,0.369346998379155,2.31522560142172,0,195,INHBA|CCL20|CCL22|IRAK2|NFKB1|LIF|PIK3R5|CCR7|OLR1|PDE4B|IL1A|GPR132|EBI3|LAMP3|TNFAIP6|NDP|CLEC5A|ITGB8|LYN|MARCO|GCH1|SGMS2|IL6|RNF144B|CCL2|CXCL8|TLR2|LCP2|SERPINE1|EREG|IL15|PLAUR|CD55|SLC7A2|TIMP1|CXCL6|IL1B|CMKLR1|BDKRB1|OSM|FFAR2|KCNMB2|CXCL10|GNA15|SELL|EMP3|PSEN1|CD70|SLC7A1|MSR1|NLRP3|FPR1|ATP2B1|TNFRSF9|KCNJ2|MET|KIF1B|P2RX7|P2RX4|ADORA2B
HALLMARK,Interferon alpha response,0.000542005420054201,0.013550135501355,0.279201284103829,1.57046197830757,1,96,IL7|LAMP3|EPSTI1|IL15|HERC6|PROCR|CXCL10|SELL|CMPK2|SAMD9L|TMEM140|PARP9|ELF1|OAS1|DDX60|TDRD7|LGALS3BP|TRIM21|USP18|IFI30|RIPK2|CD74|TENT5A|GMPR|IL4R|IFIH1|PARP12|UBA7|TRIM14|TRIM26|PSME2|RNF31|PARP14|CD47|CMTR1|IFIT2|SP110|OASL|GBP2|IFI44L|EIF2AK2|IFI44|CASP8|PNPT1|C1S|HELZ2|LPAR6|LY6E|GBP4|PSME1|IRF7|DHX58|B2M|MOV10|CCRL2|MX1|WARS1|IFITM2|STAT2|IFITM3|BST2|TRIM25|PSMA3|ISG15|NMI|ADAR|TRAFD1|CNP|RSAD2|HLA-C|TAP1|PSMB8|PSMB9|NCOA7|IRF1|LAP3|IFI27|RTP4|ISG20|NUB1|MVB12A|TRIM5|CASP1|IFI35|SAMD9|PLSCR1|IFITM1|OGFR|CSF1|SLC25A28
HALLMARK,Interferon gamma response,0.010989010989011,0.0446428571428572,0.210263924684489,1.30685309086228,0,196,NFKB1|IL7|PDE4B|PFKP|TNFAIP6|PELI1|GCH1|CD274|EPSTI1|IL6|SLAMF7|VCAM1|CCL2|ST8SIA4|LCP2|IL15|HERC6|STAT4|FCGR1A|CD86|CMKLR1|PTPN1|CXCL10|CD38|CIITA|PLA2G4A|CMPK2|FPR1
HALLMARK,Kras signaling up,0.00900900900900901,0.0446428571428572,0.209053841003982,1.30255764926155,0,193,INHBA|CCL20|NGF|LIF|MMP9|TRAF1|CSF2RA|ANO1|ITGBL1|ANKH|ID2|PRDM1|GFPT2|EREG|EPB41L3|ST6GAL1|KCNN4|HDAC9|DOCK2|PLAUR|BTC|TMEM158|DNMBP|IL1B|CMKLR1|BIRC3|USP12|CXCL10|RELN|LAT2|SDCCAG8|CSF2|GUCY1A1|RABGAP1L|FUCA1|IKZF1
HALLMARK,Mtorc1 signaling,0.0120481927710843,0.0446428571428572,0.212317641901245,1.32186246322663,0,199,SLC7A11|SLC7A5|NIBAN1|FADS2|LDHA|TXNRD1|MAP2K3|XBP1|GAPDH|HK2|ME1|RRM2|TPI1|ENO1|POLR3G|EEF1E1|PNO1|CD9|MCM2|PLOD2|HSPE1|MTHFD2L|BCAT1|ATP5MC1|INSIG1|SC5D|CALR|SLC6A6|ATP6V1D|SQSTM1|MTHFD2|UCHL5|SKAP2|PRDX1|FKBP2|DHFR|ACSL3|HSPA5|ASNS|CDKN1A|SLC1A4|HMGCS1|GGA2|LTA4H|PGK1|QDPR|HSPA4|GSK3B|GPI|GCLC|IFI30|RIT1|P4HA1|CDC25A|ABCF2|ALDOA|SQLE|PPIA|PSMG1|GLA|ETF1|LGMN|SYTL2|FDXR|UBE2D3|NFYC|STIP1|TES|HSPD1|PITPNB|HSP90B1|ADIPOR2|ELOVL5|TBK1|CCNF|MLLT11|EDEM1|EGLN3|ACACA|SERP1|GTF2H1|TFRC|PGM1|SEC11A|PSMD12|PPP1R15A|GSR|ERO1A|EPRS1|ACTR3|CACYBP|TUBG1|GOT1|SRD5A1|TM7SF2|NUP205|ACTR2|PSMC2|IDI1|GLRX|HMGCR|PDAP1|USO1|DAPP1|PIK3R3|ACLY|PSMC4|CYB5B|PSMD14|PPA1|PSME3|CANX|NUPR1|YKT6|SLC2A1|SLC1A5|BHLHE40|RPN1|PSPH|NAMPT|HSPA9|PFKL|NMT1|GBE1|PSMA4|ATP2A2|RAB1A|PSMB5|PHGDH|WARS1|DDX39A|NFKBIB|G6PD|LDLR|RPA1|ADD3|EIF2S2|SHMT2|CCNG1|PSMA3|PSMD13|PNP|HPRT1|IFRD1|IGFBP5|UFM1|SSR1|SORD|NUFIP1|SDF2L1|IDH1|COPS5|CYP51A1|SLA|STARD4|RDH11|BUB1|ARPC5L|FADS1|DDIT3|PDK1|PSMC6|M6PR|SERPINH1|GMPS|CCT6A|ITGB2|IMMT|HMBS|TUBA4A|SLC37A4|VLDLR|PSAT1|TOMM40|ELOVL6|CXCR4|FGL2|CTSC|TCEA1|NFIL3|CORO1A|AK4|UNG|RRP9|EBP|DHCR7|DHCR24|BTG2|PLK1|DDIT4|MCM4|TRIB3|SLC2A3|CTH|CFP|AURKA
HALLMARK,Myc targets v1,0.0120481927710843,0.0446428571428572,0.294423810180904,1.8330449578906,0,199,PRDX4|CTPS1|LDHA|EIF4E|TFDP1|CUL1|IARS1|MCM2|CAD|TYMS|EIF4G2|RAN|KPNA2|YWHAQ|HSPE1|TXNL4A|SNRPD2|HNRNPC|MAD2L1|H2AZ1|UBE2E1|HNRNPA1|NME1|NAP1L1|YWHAE|PGK1|PABPC1|SRPK1|DHX15|NOP16|NPM1|ORC2|HSP90AB1|PPIA|SNRPG|ETF1|PSMD3|NOP56|SERBP1|HSPD1|RFC4|MCM6|PSMA7|RRM1|COX5A|DDX21|NDUFAB1|EIF3J|EIF4A1|GOT2|RUVBL2|RPLP0|EIF1AX|EIF2S1|EPRS1|TCP1|VDAC1|GLO1|RPS6|ERH|CLNS1A|GNL3|RPL6|RPS3|CCT7|SRSF2|EEF1B2|RANBP1|SNRPD1|PSMA1|UBA2|CCT3|PSMB3|SLC25A3|PCNA|HDDC2|LSM7|RACK1|PSMD1|STARD7|NCBP1|RNPS1|PSMC4|HDAC2|MCM7|TOMM70|SYNCRIP|PSMD14|RPS5|XRCC6|PSMA6|PWP1|CANX|KPNB1|SF3B3|RPL14|DEK|CSTF2|SMARCC1|EIF4H|PSMD8|PSMD7|PSMA4|RPL22|CDK4|HNRNPA2B1|UBE2L3|EXOSC7|G3BP1|PABPC4|PPM1G|PSMB2|VDAC3|PSMA2|FAM120A|EIF2S2|CCT5|SNRPA1|GSPT1|CNBP|CCT2|RPL18|RAD23B|CCNA2|MRPL23|RPL34|HPRT1|IFRD1|PRPS2|MCM5|SNRPB2|EIF3B|BUB3|RPS10|TUFM|HDGF|AIMP2|SNRPA|COPS5|CCT4|AP3S1|ILF2|SSBP1|USP1|DUT|PTGES3|ODC1|IMPDH2|MRPS18B|TRIM28|PSMC6|PRDX3|TRA2B|HNRNPA3|PA2G4|POLE3|VBP1|NCBP2|MRPL9|KARS1|XPO1|SSB|HNRNPD|RSL1D1|ACP1|SRSF1|XPOT|HNRNPR|DDX18|RPS2|MYC|C1QBP|SET|NOLC1|EIF3D|SNRPD3|FBL|APEX1|CBX3|LSM2|PRPF31|PCBP1|SRSF7|TARDBP|PHB2|POLD2|SRM|CYC1|ABCE1|CDK2
