type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK,Il6 jak stat3 signaling,0.0036036036036036,0.0480480480480481,0.290187444712428,1.47407779212908,1,83,CRLF2|TNFRSF12A|CSF2|IL6|CXCL1|CXCL3|IL2RA|EBI3|IL1B|HMOX1|CD9|IL17RB|CSF2RA|CCL7|PLA2G2A|IL1R2|HAX1|TNF
HALLMARK,Reactive oxygen species pathway,0.00018896447467876,0.00755857898715042,0.392787585878149,1.84084507780492,0,48,PRDX4|TXN|NDUFB4|SOD1|PFKP|PRDX1|TXNRD1|LAMTOR5|FTL|GCLM|SELENOS|ATOX1|GLRX|GPX4|PRDX2|JUNB|NDUFA6|PRNP
HALLMARK,Uv response dn,0.000577009232147714,0.0115401846429543,-0.474568210572569,-1.3490086004144,576,144,AMPH|KALRN|FZD2|MMP16|GCNT1|RBPMS|LPAR1|PTGFR|IGF1R|KIT|MAP2K5|GRK5|ADGRL2|DDAH1|CDC42BPA|BMPR1A|CDON|MIOS|TOGARAM1|NFIB|FYN|PLCB4|ITGB3|VAV2|TGFBR2|TGFBR3|PTPN21|NEK7|ADD3|ICA1|ATP2B4|DLC1|ATRN|PRKAR2B|TJP1|SYNE1|MAPK14|MGMT|BCKDHB|CDK13|CELF2|MRPS31|APBB2|NRP1|ATRX|DMAC2L|PTPRM|WDR37|SFMBT1|PIK3CD|RASA2|PHF3|ERBB2|KCNMA1|DLG1|MAGI2|RXRA|AKT3|PEX14|SPOP|PRDM2|COL11A1|PPARG|PDLIM5|ZMIZ1|SCAF8|SMAD3|PDGFRB|HAS2|BDNF|DYRK1A|IRS1|ACVR2A|NIPBL|TFPI|LAMC1|YTHDC1|DAB2|ATXN1|ABCC1|MTA1|ANXA4|SLC22A18|ARHGEF9|TENT4A|PTEN|CACNA1A|FBLN5
REACTOME,Activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s,0.000393236335037357,0.0231634926876767,0.77298899986807,3.75200542169455,0,59,RPS17|RPS20|EIF4E|RPS27L|RPS4X|RPS29|RPS26|RPS6|RPS23|RPS25|RPS12|EIF3K|RPS11|RPS13|RPS3|RPS24|RPS16|RPS18|RPS14|RPS5|RPSA|RPS3A|RPS15|EIF4A1|RPS19|RPS27A|RPS21|RPS15A|RPS28|FAU|RPS27|RPS7|EIF4EBP1|RPS9|EIF3E|RPS10|EIF4A2|PABPC1|RPS8|EIF1AX
REACTOME,Attenuation phase,4.08797318289592e-05,0.00881361618638382,0.641506142905769,2.61874765383797,0,26,HSPA1L|UBB|HSPA8|HSPA6|DNAJB1|HSBP1|HSPB1|FKBP4|HSP90AB1|DEDD2|DNAJB6|HSPH1|HSPA2|MRPL18|HSP90AA1
REACTOME,Auf1 hnrnp d0 binds and destabilizes mrna,0.000287438919229664,0.0230053933420123,0.458657053195247,2.18651791188864,0,54,UBB|HSPA8|UBC|HSPB1|SEM1|PSMB6|PSMA7|PSMB1|UBA52|RPS27A|PSMB3|PABPC1|PSMD10|PSMA2|PSMD3|PSMD8|PSMB7|PSME1|PSMC4|PSMD9|PSMC3|PSMB5|HSPA1A|PSMB10
REACTOME,Cdc42 gtpase cycle,1.6000128001024e-05,0.00879926020771091,-0.499504571789237,-1.42388840562736,15,154,ARHGEF15|ARHGAP20|PLD1|PAK3|GMIP|ITSN1|WDR81|SRGAP3|ARHGEF11|SPATA13|ARHGAP42|SH3PXD2A|OPHN1|ARHGEF6|VAV3|DOCK8|FGD1|CDC42BPB|CDC42BPA|DEF6|ARAP2|GIT2|ARHGAP33|DOCK11|KCTD3|DOCK9|GOLGA8R|BCR|PLEKHG1|VAV2|ARHGAP24|ARHGAP32|FNBP1L|ARHGEF10|STARD13|ARHGAP44|DLC1|SRGAP2|ARHGEF26|ECT2|ARHGEF12|DOCK7|WIPF1|ARHGAP21|WDR91|ARHGEF7|TMPO|PREX2|DOCK10|VANGL1|SYDE1|PAK5|ARHGAP30|FGD2|PIK3R1|DOCK6|ARHGAP35|ARHGAP4|RASGRF2|ARHGAP1|PAK4|MCF2|FGD3|JUP|ARHGAP17|FARP1|FGD4|FMNL2|IQGAP3|ARHGAP11B|MCF2L|ARHGEF19|ARHGAP29|PAK2|ARHGEF5|DIAPH3|ARHGAP5|WASL|WIPF2|CPNE8|PREX1|RALBP1|CDC42SE2|ARHGEF4|FAM13B|GIT1|ARHGAP22|TRIO|CDC42EP1|ARHGAP10|LBR|DNMBP|ABR|ARHGAP27|MAP3K11|TFRC|ARHGEF9|DAAM1|FMNL1|ARHGAP39
REACTOME,Chemokine receptors bind chemokines,0.000219731927049,0.0209083379815087,0.598017110682581,2.81208048654843,0,50,CCL22|CCL20|CCR7|CXCL5|CXCL6|CXCL8|CXCR3|CXCL1|CXCL3|CXCL2|CCL3|CCL2|CCL7|CCL17|CCL3L3|CCL4
REACTOME,Complex i biogenesis,0.000343760742523204,0.0230053933420123,0.38379856063119,1.85057203407141,0,57,NDUFS5|NDUFA1|NDUFB2|NDUFB4|NDUFA11|NDUFA13|NDUFB1|NDUFB7|MT-ND2|NDUFC1|NDUFAB1|NDUFC2|NDUFAF3|NDUFA6|NDUFB8|MT-ND5|NDUFB11|NDUFB3|NDUFS3|NDUFS6|NDUFA2|NDUFB10|MT-ND4|NDUFB5|NDUFB6|NDUFB9|MT-ND1
REACTOME,Cooperation of prefoldin and tric cct in actin and tubulin folding,5.48576444127489e-05,0.00881361618638382,0.710119019897059,3.00486953491498,0,30,TUBB4B|TUBB2B|TUBA1B|TUBB2A|PFDN5|ACTB|TUBA1C|TUBA4A|TUBB3|PFDN6|PFDN2|CCT7|TCP1|TUBA1A|CCT5|TUBB6|CCT6B|VBP1|PFDN4
