"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
1.54439615523551e-06,1.21298385520188,0.01,0.004,0.0468647013306215,"","ENSG00000275709"
1.53995190329609e-06,2.4020176795919,0.003,0,0.0467298405055198,"CALCA","ENSG00000110680"
1.53811023618363e-06,1.44265966408924,0.007,0.003,0.0466739551169923,"ATP6V1G2","ENSG00000213760"
1.41562233066508e-06,1.81705517887074,0.005,0.001,0.0429570596240319,"","ENSG00000260017"
1.35474119640485e-06,1.15223937046037,0.01,0.004,0.0411096216049053,"LRRC36","ENSG00000159708"
1.34508453323962e-06,2.59466275753429,0.003,0,0.0408165901611563,"TEX46","ENSG00000227868"
1.34389964730027e-06,3.4020176795919,0.002,0,0.0407806347973267,"CACNG5","ENSG00000075429"
1.34357301503405e-06,3.48002019159317,0.002,0,0.0407707231412084,"MPIG6B","ENSG00000204420"
1.30437667258555e-06,2.1389832737581,0.005,0.001,0.0395813101296086,"","ENSG00000233645"
1.25265189970374e-06,2.30248200604098,0.004,0.001,0.03801172189651,"","ENSG00000273599"
1.20746036971682e-06,1.21191479621196,0.009,0.004,0.036640384919057,"TNNT3","ENSG00000130595"
9.80124777854286e-07,1.57378402785838,0.006,0.002,0.0297418863839883,"GRK7","ENSG00000114124"
9.70903722087255e-07,3.13898327375811,0.003,0,0.0294620734467378,"","ENSG00000238043"
9.70570711288953e-07,3.2093726016495,0.003,0,0.0294519682340633,"LINC02574","ENSG00000233975"
9.68177413145277e-07,2.7556546342066,0.003,0,0.0293793436018934,NA,"ENSG00000236673"
9.67185225993835e-07,2.87594886792431,0.003,0,0.0293492356827829,"DLL3","ENSG00000090932"
9.5881101455336e-07,1.51749489701183,0.007,0.002,0.0290951202366217,"TEX26","ENSG00000175664"
9.03130681348608e-07,1.58001598156989,0.007,0.003,0.0274055005255235,"USP12-DT","ENSG00000230641"
8.56766745997178e-07,1.21841774125251,0.009,0.004,0.0259985869072844,"COL23A1","ENSG00000050767"
8.25313421201126e-07,2.25762777025672,0.004,0.001,0.0250441357663482,"C5orf64","ENSG00000178722"
