"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
1.6125131062021e-06,1.58412327463777,0.008,0.003,0.0489317102077028,"LINC02055","ENSG00000254101"
1.61194064990233e-06,5.0700184332651,0.003,0,0.0489143390212863,"","ENSG00000285708"
1.61193987224703e-06,5.30539649619603,0.003,0,0.0489143154233362,"LINC02211","ENSG00000245662"
1.61193814778333e-06,5.0330242257829,0.003,0,0.0489142630944851,"","ENSG00000280138"
1.61193806263869e-06,4.99505637558388,0.003,0,0.0489142605107709,"","ENSG00000230021"
1.61193663220919e-06,5.0700184332651,0.003,0,0.048914217104388,"","ENSG00000255723"
1.61193660269241e-06,5.01416519853158,0.003,0,0.0489142162087012,"","ENSG00000228655"
1.61193260657762e-06,4.81063180444645,0.003,0,0.048914094946598,"","ENSG00000281039"
1.6119292166981e-06,4.72043399547487,0.003,0,0.048913992080704,"BFSP2","ENSG00000170819"
1.61192791342384e-06,4.72043399547487,0.003,0,0.0489139525328465,"WHAMMP3","ENSG00000276141"
1.61192660106841e-06,4.67312828069652,0.003,0,0.048913912709421,"","ENSG00000215861"
1.61192520584031e-06,4.67312828069652,0.003,0,0.0489138703712243,"NSFP1","ENSG00000260075"
1.61192225758702e-06,4.59912769925274,0.003,0,0.0489137809064783,"LINC00601","ENSG00000235180"
1.60343666675493e-06,1.45429367877326,0.006,0.002,0.0486562856526784,"MFSD4A","ENSG00000174514"
1.58732760888477e-06,1.78331119844694,0.008,0.003,0.0481674562916083,"STIL","ENSG00000123473"
1.57728539591889e-06,1.85840752901587,0.009,0.004,0.0478627253391587,"WIF1","ENSG00000156076"
1.57725632759657e-06,1.51558700371004,0.007,0.002,0.047861843260918,"","ENSG00000254303"
1.57336476435924e-06,1.71377026519386,0.009,0.004,0.0477437537744812,"","ENSG00000257239"
1.55707342342999e-06,1.91462952498067,0.007,0.002,0.0472493930339832,"HDHD5-AS1","ENSG00000185837"
1.54170450479946e-06,1.93616268653031,0.006,0.001,0.0467830231981397,"","ENSG00000274995"
1.53688189958522e-06,2.10013842164144,0.006,0.001,0.0466366812429136,"NOXRED1","ENSG00000165555"
1.52939371942047e-06,1.23702916588984,0.012,0.005,0.0464094524158141,"FXYD2","ENSG00000137731"
1.5215579883934e-06,2.38514751773249,0.006,0.001,0.0461716771577978,"MIR3667HG","ENSG00000188511"
1.52042744650375e-06,1.01633303521429,0.015,0.007,0.0461373708641561,"GAS2","ENSG00000148935"
1.5151214694761e-06,2.99505637558388,0.004,0,0.0459763609912521,"ORC1","ENSG00000085840"
1.50751982603008e-06,2.67312828069652,0.004,0,0.0457456891208828,"","ENSG00000261216"
1.49308512681906e-06,2.35120018580916,0.005,0.001,0.0453076681733244,"ESCO2","ENSG00000171320"
1.49164939478382e-06,2.45273821227122,0.005,0.001,0.0452641008847149,"","ENSG00000267605"
1.47268395894115e-06,1.12378968970608,0.012,0.006,0.0446885947340693,"ENO4","ENSG00000188316"
1.45529219664187e-06,1.05901943431585,0.016,0.009,0.0441608417070974,"H2BC5","ENSG00000158373"
1.4532887246914e-06,1.56374482118926,0.007,0.002,0.0441000463507607,"CHDH","ENSG00000016391"
1.43662799359845e-06,2.89552070203297,0.004,0.001,0.0435944764657448,"IPCEF1","ENSG00000074706"
1.43372603393441e-06,3.11673493217213,0.004,0.001,0.0435064164997398,"CD300C","ENSG00000167850"
1.41804651803421e-06,1.09881302417487,0.013,0.006,0.043030621589748,"QPCTL","ENSG00000011478"
1.41592462199406e-06,2.10013842164144,0.005,0.001,0.0429662326544097,"UHRF1","ENSG00000276043"
1.38399004261112e-06,1.81686375815797,0.008,0.002,0.0419971778430343,"MAP3K19","ENSG00000176601"
1.3680606129291e-06,1.01148277747826,0.019,0.011,0.0415137992993334,"ZC3H12A-DT","ENSG00000233621"
1.33820720559334e-06,1.52597458691286,0.008,0.003,0.04060789765373,"CD8B2","ENSG00000254126"
1.31875011043895e-06,2.44180273459006,0.005,0.001,0.0400174721012699,"IGF2BP3","ENSG00000136231"
1.29096519339685e-06,4.5735926071456,0.003,0,0.0391743387936274,"ZNF488","ENSG00000265763"
1.2909594987284e-06,5.1925024397901,0.003,0,0.0391741659889132,"CSMD3","ENSG00000164796"
1.29095778406213e-06,5.12378968970608,0.003,0,0.0391741139573653,"","ENSG00000145075"
1.29095539788956e-06,5.0330242257829,0.003,0,0.0391740415489588,"ABCA15P","ENSG00000189149"
1.29095465277931e-06,4.99505637558388,0.003,0,0.0391740189385883,"","ENSG00000242588"
1.29095308259695e-06,4.93616268653031,0.003,0,0.0391739712914044,"LINC01182","ENSG00000250634"
1.29095300899469e-06,4.89552070203297,0.003,0,0.0391739690579438,"LINC02149","ENSG00000249332"
1.29095040838379e-06,4.83232687554577,0.003,0,0.0391738901424062,"ANKHD1-EIF4EBP3","ENSG00000254996"
1.29094842021882e-06,4.766237685088,0.003,0,0.0391738298115401,"","ENSG00000287721"
1.2909473825213e-06,4.81063180444645,0.003,0,0.0391737983226088,"IGFBP7-AS1","ENSG00000245067"
1.2909473743433e-06,4.766237685088,0.003,0,0.0391737980744475,"","ENSG00000231970"
1.29094736525664e-06,4.74351760858791,0.003,0,0.0391737977987126,"","ENSG00000226669"
1.29094510813067e-06,4.69697502265089,0.003,0,0.0391737293062253,"","ENSG00000273388"
1.29094265473664e-06,4.64888073444984,0.003,0,0.0391736548579835,"","ENSG00000232754"
1.29094265473664e-06,4.62421868021557,0.003,0,0.0391736548579835,"TEX46","ENSG00000227868"
1.27051453104204e-06,1.70114265686611,0.007,0.002,0.0385537634444706,"","ENSG00000249021"
1.26135468143709e-06,1.67312828069652,0.008,0.003,0.0382758078082086,"ZNF610","ENSG00000167554"
1.25920645848612e-06,2.05448265371907,0.006,0.001,0.0382106199827612,"PDZK1","ENSG00000174827"
1.25645375765375e-06,2.0347265210139,0.006,0.001,0.038127089276003,"","ENSG00000242611"
1.23614352984675e-06,2.7240094496987,0.006,0.001,0.0375107754131996,"","ENSG00000283380"
1.23406462288152e-06,1.02610481184311,0.007,0.002,0.0374476909813397,"LINC00534","ENSG00000253394"
1.22823427065092e-06,1.4941581396512,0.009,0.003,0.0372707689429021,"CENPE","ENSG00000138778"
1.21719240087729e-06,2.48048320275412,0.004,0,0.0369357034046214,"CXADR","ENSG00000154639"
1.21139573751226e-06,3.48505593254395,0.004,0,0.0367598036548095,"NPHP3-AS1","ENSG00000248724"
1.2104463486719e-06,1.19993902863188,0.015,0.008,0.0367309944504489,"SHROOM3","ENSG00000138771"
1.21038916206164e-06,2.2740323252867,0.005,0.001,0.0367292591227603,"LMO7DN","ENSG00000178734"
1.21000037929891e-06,2.30539649619603,0.005,0.001,0.0367174615098253,"","ENSG00000263603"
1.20972935322332e-06,3.86777571155006,0.004,0,0.0367092372235617,"CDCP1","ENSG00000163814"
1.20794780522196e-06,2.42444916783979,0.005,0.001,0.0366551761494604,"","ENSG00000286924"
1.15661721302416e-06,1.63130810500189,0.008,0.002,0.0350975493292181,"HARBI1","ENSG00000180423"
1.15304702460168e-06,3.28979964114501,0.004,0.001,0.034989211961538,"TNFSF8","ENSG00000106952"
1.14861619641663e-06,2.26448855261583,0.005,0.001,0.0348547584802628,"MSH4","ENSG00000057468"
1.13888739034448e-06,1.48870370955909,0.008,0.003,0.0345595378600032,"COSMOC","ENSG00000260552"
1.1092574096715e-06,1.61058681462781,0.008,0.003,0.0336604160964817,"SIRT4","ENSG00000089163"
1.08071359866919e-06,2.36449700842261,0.005,0.001,0.0327942541516165,"","ENSG00000284523"
1.07811804595172e-06,2.2036429973953,0.005,0.001,0.032715492104405,"TMEM178B","ENSG00000261115"
1.07576178745132e-06,2.64070680300414,0.005,0.001,0.0326439914402104,"","ENSG00000229848"
1.0744886769554e-06,2.766237685088,0.005,0.001,0.0326053589022117,"LURAP1L-AS1","ENSG00000235448"
1.07419412016517e-06,2.2256693037253,0.005,0.001,0.0325964205764122,"SLC22A1","ENSG00000175003"
