type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK,Adipogenesis,0.000128667009778693,0.00321667524446732,-0.487372904853849,-2.25287001494235,0,200,ADIPOQ|CYP4B1|ORM1|LIPE|ACADL|FABP4|CIDEA|C3|RETN|GPX3|CD36|PTGER3|MRAP|LPL|PLIN2|ITGA7|COL4A1|TST|DBT|SLC25A10|BCL6|APOE|ALDH2|FZD4|ABCA1|CAVIN2|GPAM|ADCY6|MTARC2|IFNGR1|SLC25A1|BAZ2A|PPARG|GPD2|PIM3|DGAT1|CCNG2|STOM|MYLK|CD302|TANK|PDCD4|MCCC1|CPT2|DHCR7|VEGFB|SNCG|MAP4K3|RIOK3|GADD45A|ACADS|RREB1|PTCD3|IDH1|GPAT4|STAT5A|DDT|NABP1|COL15A1|PHLDB1|ESYT1|ME1|DHRS7|PHYH|CRAT|FAH|SULT1A1|SORBS1|JAGN1|LIFR|MIGA2
HALLMARK,Epithelial mesenchymal transition,8.86995735364822e-05,0.00321667524446732,0.488852588597259,1.51424896144375,87,199,GREM1|LRRC15|INHBA|CXCL6|FBN2|IL6|CXCL1|CXCL8|TNC|EDIL3|BGN|TNFRSF12A|MXRA5|DKK1|THY1|SERPINE1|SFRP4|COL3A1|PTHLH|COL1A1|TGFBI|TFPI2|LUM|GEM|SCG2|ELN|SPARC|PCOLCE|COL1A2|SERPINE2|POSTN|COL5A1|APLP1|CAPG|CADM1|SDC1|FMOD|RGS4|LOXL2|ID2|CDH2|CCN2|TPM4|BDNF|LOXL1|SPP1|COL5A2|PDLIM4|SGCD|CALU|ADAM12|VEGFC|LGALS1|IL32|PLAUR|COL7A1|EMP3|SERPINH1|CAP2|TIMP1|PMEPA1|EFEMP2|MATN2|COL11A1|TGFB1|SLIT2|MMP1|PLOD1|MEST|FSTL1|COMP|CXCL12|ECM2|SLIT3|FN1|ITGB1|PLOD2|SNAI2|TNFRSF11B|ECM1|IGFBP3|GLIPR1|CD44|GJA1|HTRA1|VCAM1|COL6A2|COL8A2|MGP|FAP|NID2
REACTOME,Activation of gene expression by srebf srebp,0.000927629322440834,0.0427484995296539,-0.499929655529301,-1.82458457874846,118,42,SCD|SREBF1|ACACB|GPAM|SP1|RXRA|LSS|TBL1XR1|FASN|DHCR7|NFYB|FDFT1|TM7SF2|SC5D|NCOA2|CHD9|CARM1|SMARCD3|TGS1|HELZ2|NFYC|MVK
REACTOME,Apoptosis induced dna fragmentation,0.000745740383923806,0.0409175449473032,-0.745456339881753,-2.01254514935857,196,13,H1-3|H1-4|H1-2|HMGB2|DFFB
REACTOME,Chromatin modifying enzymes,0.000934579439252336,0.0427484995296539,-0.28982387527876,-1.37263395974956,2,254,KDM5D|H3C13|UTY|H4C2|H2AC7|KMT2B|H4C15|H2AC20|JADE1|MSL1|H3C4|H4C5|BRWD1|H2AJ|OGT|BRD1|TAF10|NSD1|KAT7|TADA2B|KMT2A|SUV39H1|MECOM|KDM7A|SAP30|SMARCD2|MTA1|JADE2|PHF21A|SAP30L|MRGBP|SETD1B|SUPT20H|KANSL1|KAT14|TBL1XR1|ATF7IP|RELA|ARID1B|SMARCD1|SETD6|SMARCC2|H2BC7|SUZ12|TADA2A|KANSL3|USP22|H2AC21|TAF6L|ING5|BRD8|BRPF1|COPRS|KDM3A|EP300|SETD7|ARID1A|KDM1A|ELP2|SETDB2|KDM5B|KDM5A|KMT2D|SETD2|NCOA2|KDM4D|ING4|SGF29|SUPT3H|KAT6A|PHF2|MBIP|H4C4|GPS2|ATXN7|KDM1B|KAT8|MTA3|ELP4|CARM1|SMARCE1|EHMT2|RBBP4|SMARCD3|TADA1|EHMT1|YEATS2|KMT5C|NSD3|ELP3|KAT2B|KMT5A|DMAP1|RIOX2|KAT5|HCFC1|TAF9|SUDS3|WDR5|H3C1|KDM3B|MEAF6|SETDB1|JAK2|ARID4A|NCOR1|NCOR2|MSL3|EP400|ATXN7L3|KMT5B|SETD1A|HDAC8
REACTOME,Collagen biosynthesis and modifying enzymes,0.000765242802002638,0.0409175449473032,0.565600681844899,1.62979586389167,705,67,TLL2|COL2A1|P3H2|COL26A1|COL10A1|COL3A1|COL9A2|COL1A1|COL6A5|P4HA3|COL13A1|COL23A1|ADAMTS14|COL8A1|COLGALT2|PCOLCE|COL1A2|COL5A1|COL21A1|COL27A1|COL14A1|ADAMTS3|COL20A1|P4HA2|TLL1|COL11A2|COL5A2|COL19A1|COL7A1|SERPINH1|COL11A1|PLOD1|P4HB|ADAMTS2|PLOD2|P4HA1|COL6A2|COL8A2|COL6A1|COL22A1
REACTOME,Ethanol oxidation,1.05968873409584e-05,0.00438711135915677,-0.87775170925922,-2.2518410821827,2,11,ADH1B|ADH4|ADH1C|ACSS1|ALDH1A1|ADH5|ADH1A|ALDH2
REACTOME,Eukaryotic translation elongation,0.000671359165578426,0.0402000081439942,0.535296101231797,1.58610813867242,637,91,RPL3L|RPS17|RPL31|RPL39L|EEF1G|RPL4|RPL7|RPS20|RPS4X|RPL13A|RPL27A|RPS27L|RPL27|RPS26|EEF2|RPL36AL|RPL41|RPLP2|RPL3|EEF1A1|RPL23A|RPS19|RPL15|RPS6|RPL21|RPL17|RPL22L1|RPS3|RPL23|RPL36A|RPS18|EEF1B2|RPL26L1|RPL38|RPS29|RPS12|RPL6|RPS23|EEF1D|RPL10|RPS3A|RPL28|RPL8|RPL10A|RPL37A|RPSA|RPS15A|RPLP1|RPL26|RPS24|RPS25|RPS27A|RPL35A|RPL5|RPS15|RPL18A|RPS13|RPL34|RPS5|RPS14|RPL9|RPL35|RPL19|RPL13|RPL39|RPS28|RPL24|RPLP0|RPS7|RPS27|RPS11|RPS16|RPL11|RPL32|UBA52
REACTOME,Extracellular matrix organization,0.00101372942239461,0.0434155842280724,0.438058971235902,1.37180650141864,1011,289,ACAN|TLL2|COL2A1|CTSG|P3H2|COL26A1|CDH1|CTSV|IBSP|FBN2|HAPLN1|MMP24|ASPN|CAPN8|TNC|COL10A1|FBN3|MMP13|BGN|SERPINE1|CTRB1|CAPN9|GDF5|MATN1|COL3A1|ITGAD|COL9A2|COL1A1|COL6A5|P4HA3|COL13A1|COL23A1|LUM|EMILIN3|SPOCK3|ADAMTS16|PRKCA|ADAMTS14|TMPRSS6|ELN|SPARC|COL8A1|COLGALT2|PCOLCE|COL1A2|NCAN|TPSAB1|MMP9|ITGAX|COL5A1|MMP10|COL21A1|SDC1|COL27A1|COL14A1|FMOD|LOXL2|TNR|MMP20|PDGFA|ITGA2B|ADAMTS3|LOXL3|ADAMTS18|SCUBE3|BMP2|COL20A1|CMA1|P4HA2|TLL1|LRP4|MMP25|ITGA10|COL11A2|LOXL1|SPP1|ITGA4|COL5A2|TGFB2|TGFB3|ADAM12|TNN|COL19A1|CAPN13|COL7A1|PTPRS|SERPINH1|NRXN1|TIMP1|CAPN6|EFEMP2|COL11A1|TGFB1|MMP1|PLOD1|MUSK|P4HB|ITGA8|ITGA9|COMP|LTBP1|ITGAM|ADAMTS2|CTSS|ACTN1|ADAM8|FN1|BSG|ITGB1|PLOD2|P4HA1|CD44|MMP11|MMP19|SDC2|HTRA1|NCAM1|VCAM1|ICAM4|JAM2|COL6A2|COL8A2|NID2|COL6A1|MMP16|CTSB|CD151|ICAM1|COL22A1|ITGB7
REACTOME,Interleukin 10 signaling,0.00054806046858033,0.0400406530574571,0.618514160207205,1.7001200821654,481,45,IL1A|CCL20|IL6|CXCL1|CXCL8|CSF2|LIF|CCL22|IL12A|CXCL2|IL1B|CCL3L3|CCL3|IL10|TNF|IL1RN|CD80|CCL2|CCL4|CCR5|PTAFR
REACTOME,Laminin interactions,5.37262112275842e-05,0.00953256490637994,-0.633724640215694,-2.1427332730899,8,30,NID1|LAMA2|COL4A6|ITGA7|COL4A1|LAMA5|LAMC3|ITGA1|ITGA6|COL4A2|ITGB4|COL4A5|LAMA3|LAMC1|LAMB2|LAMB3|LAMB1|ITGA3
