type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME,Aberrant regulation of mitotic exit in cancer due to rb1 defects,0.00216127947745065,0.0401167031363968,-0.455649980082326,-1.90147071116568,44,20,ANAPC16|ANAPC10|FZR1|CDC26|ANAPC5|CDC23|ANAPC11|ANAPC1|ANAPC4|ANAPC7|CDC16|UBE2D1|ANAPC15|CDC27|SKP2|UBE2E1|ANAPC2|UBE2S|UBE2C|RB1
REACTOME,Abortive elongation of hiv 1 transcript in the absence of tat,0.000135372952484094,0.0173438273696281,-0.516549915341456,-2.26246571336237,1,23,POLR2I|POLR2B|POLR2C|POLR2K|POLR2H|NELFCD|SUPT4H1|POLR2E|POLR2G|POLR2J|NELFE|NELFB|NELFA|GTF2F1|NCBP2|POLR2A|POLR2F|CTDP1|POLR2D|SUPT5H|POLR2L|GTF2F2|NCBP1
REACTOME,Activated pkn1 stimulates transcription of ar androgen receptor regulated genes klk2 and klk3,0.00106382978723404,0.0356993398184287,-0.373398853135147,-1.99074432718153,0,50,H3C13|H2AC4|H2AC7|H2BC7|H4C15|H2AC20|H4C2|H2AJ|H3C1|H3C4|H2BC8|H4C9|H2BC21|H3C2|H2BC9|H4C4|H4C14|H2BC10
REACTOME,Activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s,0.0025062656641604,0.0419484924925772,-0.559714084934347,-3.05011300652171,0,59,RPS4Y1|RPS21|RPS27|FAU|RPS16|RPS25|RPS7|RPS28|RPS11|RPS29|RPS14|EIF3M|RPS2|RPS8|RPS5|RPS13|RPS10|EIF4EBP1|EIF3G|RPS9|RPS27A|RPS15A|EIF3I|RPS15|RPS23|RPS3A|RPSA|RPS24|EIF4H|EIF3K|RPS12|RPS6|RPS18|EIF3D|RPS20|EIF3E|EIF4A1|EIF2S3
REACTOME,Advanced glycosylation endproduct receptor signaling,1.9790223629527e-05,0.0119730852958638,-0.782768341082016,-2.7710950276056,0,13,SAA1|S100A12|LGALS3|MAPK3|S100B
REACTOME,Apoptosis induced dna fragmentation,0.000138531565406689,0.0173438273696281,-0.69210588063154,-2.45013890283755,6,13,H1-4|H1-2|H1-3|HMGB2|H1-1|H1-5|HMGB1|H1-0
REACTOME,Assembly of the orc complex at the origin of replication,0.00151057401812689,0.0365558912386707,-0.324383772341845,-1.73595486430839,0,53,H3C13|H2AC4|H2AC7|H2BC7|H4C15|H2AC20|H4C2|H2AJ|H3C1|H3C4|H2BC8|H4C9|H2BC21|H3C2|H2BC9|H4C4|H4C14|H2BC10
REACTOME,Base excision repair ap site formation,0.00106382978723404,0.0356993398184287,-0.369600391583181,-1.9704931514666,0,50,H2AC4|H2AC7|H2BC7|H4C15|H2AC20|H4C2|H2AJ|H2BC8|H4C9|H2BC21|H2BC9|H4C4|H4C14|H2BC10|MPG|H4C8|H2BC4
REACTOME,Butyrate response factor 1 brf1 binds and destabilizes mrna,0.00110172603745869,0.0356993398184287,-0.516214691140837,-2.02902857700441,32,17,EXOSC6|DIS3|YWHAB|EXOSC8|AKT1|EXOSC7|EXOSC1|EXOSC9|DCP2|EXOSC2|EXOSC3|ZFP36L1|EXOSC5|EXOSC4|XRN1|MAPKAPK2|DCP1A
REACTOME,Calnexin calreticulin cycle,9.56571647216377e-05,0.0173438273696281,-0.516534962480908,-2.34974660295308,0,26,UBA52|SYVN1|RPS27A|UBC|EDEM1|AMFR|DERL2|CANX|OS9|SEL1L|RNF103|MARCHF6|EDEM2|RNF5|GANAB|PRKCSH|TRIM13|UGGT1|UBB|MAN1B1|RNF139|PDIA3|RNF185|CALR|EDEM3|UGGT2
REACTOME,Cholesterol biosynthesis,0.000425604358188628,0.0252325870700429,-0.462863972907467,-2.07995998471449,4,25,DHCR24|PLPP6|DHCR7|FDFT1|LBR|MSMO1|EBP|FDPS|LSS|HSD17B7|SC5D|MVK|CYP51A1|IDI1|ARV1|TM7SF2|ACAT2|NSDHL|MVD|GGPS1|HMGCR|IDI2|PMVK|HMGCS1|SQLE
REACTOME,Class i peroxisomal membrane protein import,0.00225733634311512,0.0402207153304082,-0.450570973310317,-1.88027553275912,46,20,PXMP2|PEX16|ABCD1|FIS1|ATAD1|PEX19|ACBD5|PEX12|PEX2|PEX13|PXMP4|ABCD3|PEX3|PEX26|ABCD2|PEX11B|GDAP1|ALDH3A2|PEX14|SLC25A17
REACTOME,Complex i biogenesis,0.00218818380743982,0.0401167031363968,-0.424508525050956,-2.30866703649727,0,57,MT-ND3|MT-ND6|MT-ND2|MT-ND1|MT-ND5|MT-ND4|NDUFS2|NDUFB4|NDUFV2|NDUFC2|NDUFA3|NDUFA13|NDUFB8|NDUFA7|NDUFV3|NDUFB1|NDUFC1|NDUFA2|NDUFA5|NDUFAB1|NDUFB9|NDUFB10|NDUFA1|NDUFB11|NDUFS4|NDUFB7|NDUFS6|NDUFB5|NDUFAF3|NDUFA6|NDUFS7|TMEM126B|NDUFA11|NDUFS1|NDUFS5|NDUFAF4|NDUFS3|NDUFA10|TMEM186|NDUFV1|NDUFA8|NDUFB6|NDUFA12|NDUFS8|TIMMDC1|NDUFAF2|NDUFA9|ECSIT|NDUFB3|NDUFB2|NDUFAF7
REACTOME,Condensation of prophase chromosomes,0.00218818380743982,0.0401167031363968,-0.31691314965902,-1.72351530976317,0,57,H3C13|H2AC4|H2AC7|H2BC7|H4C15|H2AC20|H4C2|H2AJ|H3C1|H3C4|H2BC8|H4C9|H2BC21|H3C2|H2BC9|H4C4|H4C14|H2BC10
REACTOME,Cristae formation,0.00229357798165138,0.0402207153304082,-0.354398432570651,-1.70355490130912,13,31,MT-ATP6|MT-ATP8|MICOS13|ATP5F1D|ATP5MC2|ATP5PD|DMAC2L|ATP5MG|ATP5F1C|ATP5PB|ATP5ME|ATP5PF|ATP5F1B|ATP5PO|HSPA9|ATP5MC3|ATP5MF|ATP5F1E|MTX1|ATP5MC1|ATP5F1A|TMEM11|APOOL|IMMT|SAMM50|MICOS10|CHCHD3|MTX2|DNAJC11|CHCHD6|APOO
REACTOME,Cytosolic trna aminoacylation,0.000304043782304652,0.0216407633287429,-0.472078353253652,-2.09380022806996,3,24,AIMP1|EEF1E1|NARS1|SARS1|VARS1|LARS1|PPA1|DARS1|AIMP2|KARS1|GARS1|QARS1|EPRS1|HARS1|RARS1|FARSA|MARS1|TARS1|FARSB|CARS1|AARS1|YARS1|IARS1|WARS1
REACTOME,Deadenylation dependent mrna decay,0.00151057401812689,0.0365558912386707,-0.377787378285866,-2.02174674853506,0,53,EXOSC6|LSM6|EDC4|DIS3|NT5C3B|TNKS1BP1|EIF4A1|CNOT3|EXOSC8|CNOT8|EXOSC7|PAIP1|EIF4A2|CNOT7|LSM7|EXOSC1|EIF4B|DDX6|PATL1|LSM5|EXOSC9|LSM3|EIF4G1|DCP2|EXOSC2|HBS1L|EXOSC3|CNOT1|CNOT11|LSM1|CNOT6L|LSM4|EXOSC5|TUT4|LSM2|EXOSC4|PABPC1|XRN1|CNOT2|EIF4A3|DCPS|PAN2|CNOT9|CNOT4|CNOT6|EIF4E|TUT7|DCP1A|PARN|PAN3|CNOT10|EDC3|DCP1B
REACTOME,Deadenylation of mrna,0.000425604358188628,0.0252325870700429,-0.464158836614761,-2.08577868060459,4,25,TNKS1BP1|EIF4A1|CNOT3|CNOT8|PAIP1|EIF4A2|CNOT7|EIF4B|EIF4G1|CNOT1|CNOT11|CNOT6L|TUT4|PABPC1|CNOT2|EIF4A3|PAN2|CNOT9|CNOT4|CNOT6|EIF4E|TUT7|PARN|PAN3|CNOT10
REACTOME,Diseases associated with glycosylation precursor biosynthesis,0.000983693390337104,0.0356993398184287,-0.495087300006639,-1.99109243234245,25,18,SRD5A3|DPM3|DOLK|CTSA|DPM2|NEU1|PGM1|MPI|DPM1|DHDDS|GFPT1|GNE|GALT|GALE|NUS1|GALK1|GLB1|PMM2
REACTOME,Diseases associated with n glycosylation of proteins,0.00126865422495243,0.0356993398184287,-0.511667275201646,-2.01115454697293,37,17,ALG2|MOGS|MPDU1|MAN1B1|ALG9|ALG12|B4GALT1|ALG14|RFT1|MGAT2|ALG13|ALG3|ALG1|ALG8|ALG11|DPAGT1|ALG6
REACTOME,Dna damage recognition in gg ner,0.0013703323055841,0.036045697603408,-0.372948913837773,-1.88525466269289,3,38,UBA52|COPS2|RPS27A|RAD23A|XPC|UBC|COPS8|ACTR5|INO80B|YY1|DDB1|COPS6|ACTL6A|NFRKB|COPS5|CUL4B|GPS1|COPS4|RAD23B|INO80D|COPS7A|PARP1|RBX1|UBB|ACTB|ACTR8|INO80E|COPS3|TFPT|RUVBL1|MCRS1|CETN2|COPS7B|CUL4A|PARP2|INO80|INO80C|DDB2
REACTOME,Dna methylation,0.000909090909090909,0.0354838709677419,-0.344035812996129,-1.81613860054188,0,48,H3C13|H2AC4|H2AC7|H2BC7|H4C15|H2AC20|H4C2|H2AJ|H3C1|H3C4|H2BC8|H4C9|H2BC21|H3C2|H2BC9|H4C4|H4C14|H2BC10
REACTOME,E3 ubiquitin ligases ubiquitinate target proteins,0.00204081632653061,0.0401167031363968,-0.360808295666046,-1.9606777471627,0,56,H2BC7|H2BC8|UBA52|H2BC9|H2BC10|RRAGA|RPS27A|BCL10|H2BC4|HLA-A|UBE2B|UBC|RTF1|RNF181|SELENOS|H2BC12|DERL1|H2BC6|PRKDC|TMEM129|H2BC3|UBE2V2|UBE2J2|UBE2D3|UBE2L3|PCNA|VCP|RNF152|SHPRH|PEX12|UBE2A|UBE2D2|UBB|PEX5|PEX2|PEX13|CTR9|PAF1|PEX10|UBE2D1|WAC|H2BC17|RNF40|RNF20|H2BC15|UBE2N|CDC73|HLTF|RAD18|UBE2E1|LEO1|PEX14|H2BC14|RNF144A|H2BC11|H2BC5
REACTOME,Er quality control compartment erqc,0.000215714825001348,0.0186439241608308,-0.516449224844803,-2.19403537427559,3,21,UBA52|SYVN1|RPS27A|UBC|EDEM1|AMFR|DERL2|OS9|SEL1L|RNF103|MARCHF6|EDEM2|RNF5|TRIM13|UGGT1|UBB|MAN1B1|RNF139|RNF185|EDEM3|UGGT2
REACTOME,Ercc6 csb and ehmt2 g9a positively regulate rrna expression,0.00276243093922652,0.0445672191528545,-0.329494956784004,-1.80270962942037,0,60,H3C13|H2AC4|H2AC7|H2BC7|H4C15|H2AC20|H4C2|H2AJ|H3C1|H3C4|H2BC8|H4C9|H2BC21|H3C2|H2BC9|H4C4|H4C14|H2BC10
REACTOME,Ethanol oxidation,0.00066443175983812,0.0293474829873028,-0.667523863651114,-2.19827257883832,43,11,ADH4|ADH1B|ADH1C|ADH5|ALDH2|ALDH1A1|ACSS1
REACTOME,Extension of telomeres,0.00118343195266272,0.0356993398184287,-0.357724387731366,-1.91025528887327,0,51,POLD4|BLM|NOP10|RPA2|NHP2|CDK2|TERF2|PPP6C|RFC2|PCNA|RFC1|DKC1|RPA1|CHTF8|RPA3|TERF1|POLD3|TERF2IP|CCNA2|TINF2|ACD|FEN1|POLD2|RFC5|GAR1|RUVBL2|RFC4|ANKRD28|TEN1|PRIM1|TERT|CCNA1|WRN|DNA2|RTEL1|POLD1|WRAP53|CTC1|RUVBL1|STN1|DSCC1|PPP6R3|POT1|RFC3|LIG1|PIF1|CHTF18|SHQ1|POLA2|PRIM2|POLA1
REACTOME,Formation of atp by chemiosmotic coupling,3.78343611668117e-05,0.0131613854871915,-0.741983668591914,-2.98403547704666,0,18,MT-ATP6|MT-ATP8|ATP5F1D|ATP5MC2|ATP5PD|DMAC2L|ATP5MG|ATP5F1C|ATP5PB|ATP5ME|ATP5PF|ATP5F1B|ATP5PO|ATP5MC3|ATP5MF|ATP5F1E|ATP5MC1|ATP5F1A
REACTOME,Formation of incision complex in gg ner,0.000561797752808989,0.0261452031114953,-0.376761527483121,-1.95724971746646,0,43,UBA52|RPS27A|UBE2I|RAD23A|ERCC5|XPC|UBC|SUMO3|RPA2|UBE2V2|DDB1|PIAS3|SUMO1|RPA1|RPA3|SUMO2|GTF2H5|XPA|CUL4B|RAD23B|PARP1|RBX1|UBB|ERCC4|GTF2H3|MNAT1|GTF2H4|USP45|GTF2H1|PIAS1|UBE2N|ERCC1|CDK7|CETN2|ERCC3|CUL4A|PARP2|ERCC2|CCNH|CHD1L|GTF2H2|RNF111
REACTOME,Formation of tc ner pre incision complex,0.00151057401812689,0.0365558912386707,-0.385486247170144,-2.06294760390723,0,53,UBA52|POLR2I|COPS2|RPS27A|POLR2B|POLR2C|TCEA1|UBC|POLR2K|ZNF830|POLR2H|XAB2|COPS8|POLR2E|PRPF19|POLR2G|POLR2J|DDB1|ISY1|COPS6|COPS5|PPIE|GTF2H5|XPA|CUL4B|POLR2A|USP7|GPS1|COPS4|POLR2F|COPS7A|RBX1|POLR2D|EP300|UBB|GTF2H3|MNAT1|UVSSA|GTF2H4|COPS3|AQR|POLR2L|GTF2H1|CDK7|ERCC3|COPS7B|CUL4A|ERCC2|CCNH|ERCC6|GTF2H2|HMGN1
REACTOME,Formation of the early elongation complex,0.000204918032786885,0.0186439241608308,-0.460894689648301,-2.25201770102152,0,33,POLR2I|POLR2B|POLR2C|POLR2K|POLR2H|NELFCD|SUPT4H1|POLR2E|POLR2G|POLR2J|NELFE|NELFB|NELFA|GTF2F1|NCBP2|GTF2H5|POLR2A|POLR2F|CTDP1|POLR2D|GTF2H3|SUPT5H|MNAT1|GTF2H4|POLR2L|GTF2H1|GTF2F2|CDK7|ERCC3|NCBP1|ERCC2|CCNH|GTF2H2
REACTOME,Hiv elongation arrest and recovery,0.000183452577508714,0.0184981348987953,-0.48884165781084,-2.36979666854716,0,32,POLR2I|CDK9|POLR2B|POLR2C|TCEA1|POLR2K|POLR2H|NELFCD|SUPT16H|SUPT4H1|POLR2E|POLR2G|ELOB|POLR2J|NELFE|NELFB|NELFA|CCNT1|CCNT2|ELOA|GTF2F1|SSRP1|POLR2A|POLR2F|CTDP1|POLR2D|SUPT5H|CCNK|ELOC|POLR2L|GTF2F2|ELL
REACTOME,Hiv transcription elongation,0.000505050505050505,0.0261452031114953,-0.461032489535579,-2.38744775287537,0,42,POLR2I|CDK9|POLR2B|POLR2C|TCEA1|POLR2K|POLR2H|NELFCD|SUPT16H|SUPT4H1|POLR2E|POLR2G|ELOB|POLR2J|NELFE|NELFB|NELFA|CCNT1|ELOA|GTF2F1|NCBP2|SSRP1|GTF2H5|POLR2A|POLR2F|CTDP1|POLR2D|GTF2H3|SUPT5H|MNAT1|GTF2H4|ELOC|POLR2L|GTF2H1|GTF2F2|CDK7|ERCC3|NCBP1|ERCC2|CCNH|ELL|GTF2H2
REACTOME,Inhibition of dna recombination at telomere,0.00187617260787993,0.0401167031363968,-0.441871822168817,-2.37836737295075,0,55,H2AC4|H2AC7|H2BC7|H4C15|H2AC20|H4C2|H2AJ|H2BC8|H4C9|H2BC21|H2BC9|H4C4|H4C14|H2BC10|POLR2I|POLR2B|H4C8|H2BC4|POLR2C|H2AC8|POLR2K|POLR2H|H4C5
REACTOME,Insertion of tail anchored proteins into the endoplasmic reticulum membrane,0.000968933567492279,0.0356993398184287,-0.456510191886329,-1.97192371556955,15,22,GET4|CYB5A|OTOF|EMD|CAMLG|UBL4A|SGTA|VAMP2|UBE2J2|SEC61G|VAPA|GET3|BAG6|SEC61B|SERP1|GET1|APP|PRNP|STX5|HMOX1|ALDH3A2|STX1A
REACTOME,Ksrp khsrp binds and destabilizes mrna,0.00196975261242613,0.0401167031363968,-0.497958641749925,-1.9572715221335,58,17,EXOSC6|DIS3|EXOSC8|AKT1|EXOSC7|MAPK14|KHSRP|EXOSC1|EXOSC9|DCP2|EXOSC2|EXOSC3|MAPK11|EXOSC5|EXOSC4|YWHAZ|PARN
REACTOME,Metalloprotease dubs,0.00118308192842354,0.0356993398184287,-0.38792908383835,-1.84651823977707,7,30,H2AC15|H2AC12|H2AC4|H2AC21|H2AC7|H2AC20
REACTOME,Metallothioneins bind metals,0.000143337416277918,0.0173438273696281,-0.781612373199996,-2.47200781683161,10,10,MT1X|MT1H|MT1G|MT1E|MT1F|MT2A|MT1M|MT1B
REACTOME,Microrna mirna biogenesis,0.00319245971419884,0.0487903225806452,-0.395982735723772,-1.75629476898449,41,24,POLR2I|POLR2B|POLR2C|POLR2K|POLR2H|BCDIN3D|POLR2E|TARBP2|POLR2G|POLR2J|PRKRA|POLR2A|POLR2F|AGO2|POLR2D|RAN|DICER1|POLR2L|AGO1|AGO4|XPO5|AGO3|DGCR8|DROSHA
REACTOME,Mrna capping,0.000263921879123779,0.0209528992677617,-0.460833471691848,-2.17039601013457,1,29,POLR2I|RNMT|POLR2B|POLR2C|POLR2K|POLR2H|POLR2E|POLR2G|POLR2J|GTF2F1|NCBP2|GTF2H5|POLR2A|POLR2F|POLR2D|GTF2H3|SUPT5H|MNAT1|GTF2H4|POLR2L|GTF2H1|GTF2F2|CDK7|ERCC3|NCBP1|ERCC2|CCNH|RNGTT|GTF2H2
