type,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK,Epithelial mesenchymal transition,0.00236499763500237,0.0495635,0.453466505497254,1.32000458011508,2364,199,GREM1|LRRC15|TNC|FBN2|IL6|CXCL6|SERPINE1|INHBA|CXCL1|EDIL3|MXRA5|SFRP4|THY1|BGN|SCG2|PTHLH|RGS4|LUM|CXCL8|TNFRSF12A|MEST|SDC1|GEM|COL3A1|CADM1|ELN|COL1A1|PCOLCE|LOXL2|TFPI2|COL1A2|LOXL1|COMP|COL5A1|TGFBI|CAP2|SERPINE2|CCN2|SPARC|SGCD|FOXC2|ADAM12|FSTL1|IL32|CAPG|CXCL12|SLIT3|FN1|EFEMP2|TPM4|SGCG|SERPINH1|ID2|ECM2|PLOD1|CDH6|PDLIM4|IGFBP2|PMEPA1|MMP1|FMOD|CALU|MFAP5|SLIT2|FAP|IGFBP4|TAGLN|EMP3|NID2|TGM2|CDH2|BDNF|GJA1|COL11A1|APLP1
HALLMARK,Protein secretion,0.00316455696202532,0.0495635,-0.315280553932812,-1.80113481242869,0,96,TSPAN8|ABCA1|CTSC|IGF2R|STX16|BNIP3|GALC|VPS4B|DOP1A|OCRL|SNAP23|ATP7A|MON2|EGFR|VPS45|M6PR|STAM|CLN5|CLTC|NAPG|ARFGEF2|SEC22B|COG2|RAB22A|TSG101|ADAM10|GNAS|STX7|RAB9A|CLCN3|SCAMP1|LMAN1|RAB14|MAPK1|ARFIP1|CLTA|AP1G1|SNX2|LAMP2|TMX1|YIPF6|AP2B1|RER1|SCRN1|ATP6V1H|COPB1|AP3B1|ARCN1|VAMP4|ARFGEF1|TMED10|SEC31A|DST|ATP1A1|NAPA|ZW10|STX12|USO1|AP3S1|ANP32E|GOSR2|CD63|TPD52|CAV2|AP2S1|GOLGA4|RAB2A|SCAMP3|ARF1|RAB5A|COPE|ARFGAP3|PPT1|SOD1|VAMP3|YKT6|BET1|SGMS1|DNM1L|COPB2|VAMP7|SEC24D|SH3GL2|PAM|TOM1L1|KIF1B|TMED2|AP2M1|GBF1|ERGIC3|ICA1
HALLMARK,Spermatogenesis,0.00219425892255286,0.0495635,0.49308002314719,1.40240020473437,2193,114,TULP2|GSG1|CLGN|TKTL1|LDHC|CFTR|IL12RB2|MTNR1A|CLVS1|NAA11|NOS1|ZPBP|MEP1B|BUB1|ACRV1|KIF2C|DDX25|NEFH|EZH2|CCNB2|SCG3|DCC|TTK|ODF1|NEK2|PCSK1N|AURKA|ELOVL3|IL13RA2|HSPA4L|TLE4|SLC12A2|MLF1|HSPA1L|HSPA2|ART3|RPL39L|OAZ3|PACRG|STRBP|SNAP91|TEKT2|TNNI3|ADCYAP1|CCNA1|SYCP1|GFI1|GAD1
HALLMARK,Tnfa signaling via nfkb,0.004046,0.0495635,0.447573668355963,1.30236479166114,4045,197,TNC|IL6|CXCL6|FOSL1|SERPINE1|TNFRSF9|CCL20|INHBA|CXCL1|IL1A|SIK1|NR4A3|LIF|PHLDA2|CXCL2|IER3|EGR2|CXCL3|OLR1|CCL2|IL23A|GEM|TNFAIP6|DUSP5|RCAN1|DUSP4|BCL2A1|TUBB2A|SGK1|GCH1|PLK2|CLCF1|TNF|RNF19B|CSF2|NR4A2|HBEGF|EGR3|DUSP2|PHLDA1|TIPARP|IL1B|CCND1|CCRL2|IRF1|BIRC3|MSC|MYC|HES1|TRIB1|CD83|CDKN1A|RELB|BMP2|ZC3H12A|GFPT2|MAP3K8|ID2|SLC16A6|TNFAIP8|PMEPA1|BHLHE40|CCL5|GPR183|PFKFB3|KLF10|TRAF1|FJX1|PDE4B|EHD1|CCL4|NFKB1|KDM6B
REACTOME,Abortive elongation of hiv 1 transcript in the absence of tat,0.00102473598815861,0.0154585172847829,-0.480960127485807,-2.01628491046393,35,23,POLR2B|NELFCD|NELFA|POLR2I|NELFB|CTDP1|POLR2H|POLR2C|POLR2K|POLR2E|SUPT4H1|POLR2D|NELFE|POLR2G|POLR2J|NCBP2|NCBP1|GTF2F2|SUPT5H|GTF2F1|POLR2A|POLR2F|POLR2L
REACTOME,Activation of gene expression by srebf srebp,0.00112019715469923,0.0163021632983876,-0.360724839350603,-1.77714245331312,9,42,SREBF1|SCD|ACACB|FASN|SP1|GPAM|RXRA|LSS|TBL1XR1|FDFT1|DHCR7|NFYB|NCOA2|CHD9|TGS1|FDPS|SC5D|MVK|MED1|CARM1|MTF1|NCOA6|TM7SF2|PPARA|TBL1X|NFYC|SMARCD3|CREBBP|NCOA1|HMGCR|NFYA|CYP51A1|GGPS1|MVD|SREBF2|ACACA|ELOVL6|HELZ2|IDI1|PMVK
REACTOME,Activation of nmda receptors and postsynaptic events,0.00106854175066759,0.0159030134732079,0.524043314161729,1.47017754629201,1067,88,TUBB3|GRIN3A|GRIN2A|RASGRF1|TUBB2B|TUBB8|ADCY8|NRG1|ACTN2|PRKAG3|GRIA4|LRRC7|CAMK2B|TUBB1|KPNA2|TUBA4B|PPM1E|CAMK2A|PRKAR1B|TUBB2A|GRIN2C|GRIA2|TUBB4B|KIF17|GRIN2D|ADCY1|DLG2|ERBB4|TUBA1B|RASGRF2|TUBB6|GRIN2B
REACTOME,Activation of the ap 1 family of transcription factors,0.00314254440168073,0.0323281022062726,-0.656001245774356,-2.03629964210286,355,10,MAPK14|JUN|MAPK11|MAPK3
REACTOME,Activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s,0.000337495781302734,0.00852933008731531,-0.343271331570867,-1.80904260221694,0,59,RPS4Y1|RPS21|EIF4EBP1|EIF3M|FAU|RPS11|EIF3G|RPS16|RPS10|RPS27|RPS7|RPS9|EIF2S3|EIF3B|RPS25|RPS28|EIF3I|RPS8|RPS14|RPS2|EIF3K|EIF4H|EIF4G1|RPS13|RPS5|RPS29|EIF3D|RPS24|RPS15|RPS15A|RPSA|RPS27A|RPS23|EIF3E|RPS3A|EIF4B|RPS12|EIF2S2|EIF2S1|RPS18|EIF3F|EIF4A2|EIF4A1|EIF3A|RPS6|RPS3|EIF1AX|RPS19|EIF3H|RPS27L|RPS20|EIF3L|RPS26|EIF3C|RPS4X|EIF3J|PABPC1
REACTOME,Adora2b mediated anti inflammatory cytokines production,0.000175027479314252,0.00718131922993566,0.531080562787072,1.50471155032309,174,106,GHRHR|IL6|ADCY8|TSHR|GIPR|PTH2R|CALCR|ADORA2B|PTH2|GPR84|PTHLH|GNG7|RXFP1|PTGER2|GPR27|SCT|RLN2|NPSR1|GNGT1|ADM2|GCG|RAMP1|CALCB|HTR6|GNG3|GLP1R|ADCY7|PRKAR1B|GPR39|GLP2R|CALCA|GNGT2|HTR4|HTR7|FSHR|GIP|LHB|GNG4|CYSLTR2|ADCY1|VIPR2|MC1R|GPR176|ADCY5|ADRB2
REACTOME,Advanced glycosylation endproduct receptor signaling,2.3957547226315e-05,0.00592709718379032,-0.766999320724107,-2.64029485668256,1,13,SAA1|S100A12|AGER|MAPK3|LGALS3
REACTOME,Anti inflammatory response favouring leishmania parasite infection,5.2000364002548e-05,0.00614688928642417,0.513117528661276,1.47772377066403,51,151,GHRHR|IL6|PLCG2|IGLC2|ADCY8|TSHR|IGLC3|GIPR|IGKV3-20|PTH2R|CALCR|ADORA2B|PTH2|GPR84|IGHG4|PTHLH|GNG7|IGLV1-51|IGLV3-21|RXFP1|PTGER2|GPR27|SCT|RLN2|NPSR1|GNGT1|ADM2|GCG|CYSLTR1|RAMP1|CALCB|IGHG2|HTR6|GNG3|GLP1R|ADCY7|PRKAR1B|GPR39|PLK2|GLP2R|CALCA|DPEP1|GNGT2|HTR4|HTR7|FSHR|GIP|LHB|GNG4|IL10|CYSLTR2|ADCY1|FCGR2A|FGR|VIPR2|HCK|MC1R|ITPR1|GPR176|ADCY5|ADRB2|GPR83|GPHA2|IGKV3-11|IGKV1-39|IGHV4-59|IGLV2-11|ADCYAP1|IGLV2-8|RLN3|INSL3|SCTR|CRHR2
REACTOME,Antigen activates b cell receptor bcr leading to generation of second messengers,7.2608678552304e-05,0.00614688928642417,0.641969529474751,1.71024164127014,71,43,IGHM|PLCG2|IGLC2|CD19|IGLC3|IGKV3-20|CD22|IGLV1-51|IGLV3-21|PTPN6|CD79A|BLNK|BTK
REACTOME,Apoptosis induced dna fragmentation,0.000958301889052599,0.0150163655263026,-0.639456920877891,-2.20124682466475,79,13,H1-4|H1-3|H1-2
REACTOME,Assembly and cell surface presentation of nmda receptors,0.00277227322360173,0.030081596294696,0.589021247241691,1.5550090592669,2741,39,TUBB3|GRIN3A|GRIN2A|TUBB2B|TUBB8|ACTN2|LRRC7|CAMK2B|TUBB1|TUBA4B|CAMK2A|TUBB2A|GRIN2C|TUBB4B|KIF17|GRIN2D|DLG2|TUBA1B|TUBB6|GRIN2B
REACTOME,Assembly of active lpl and lipc lipase complexes,0.00291411285852299,0.0312774473900731,-0.526042729491504,-1.95597499091511,183,16,CIDEC|GPIHBP1|LPL|ANGPTL8|FURIN
REACTOME,Butyrate response factor 1 brf1 binds and destabilizes mrna,0.000883759617384072,0.0149745241488361,-0.551033956251867,-2.09392405814974,50,17,EXOSC6|XRN1|DIS3|DCP2|AKT1|YWHAB|EXOSC8|EXOSC7|EXOSC2|EXOSC1|EXOSC9|ZFP36L1|EXOSC3|DCP1A|EXOSC4|EXOSC5|MAPKAPK2
REACTOME,Calnexin calreticulin cycle,0.00032426589803639,0.00852933008731531,-0.489740354605219,-2.12886111593488,8,26,SYVN1|UGGT1|UGGT2|EDEM1|MARCHF6|SEL1L|AMFR|RNF103|UBA52|RNF185|EDEM2|TRIM13|DERL2|EDEM3|CANX|GANAB|RNF139|RPS27A|UBC|OS9|MAN1B1|PRKCSH|RNF5|CALR|PDIA3|UBB
REACTOME,Cardiac conduction,5.30033922171019e-05,0.00614688928642417,0.532941813804441,1.51970766027993,52,121,SLC8A2|CACNG7|SLN|KCNK9|NPPA|KCNK17|NPPC|KCNE1|ATP1A4|ATP2B3|SCN8A|KCNQ1|CACNB2|ATP2A1|NKX2-5|NOS1|KCNK13|ATP1A3|CORIN|CAMK2B|ATP2B2|SCN1A|RYR2|KCNK12|CACNA2D2|SLC8A3|CACNG4|CAMK2A|SCN3A|TRDN|RYR3|ATP1B2|FXYD6|CACNG8|KCNH2|FGF14|SCN11A|KCNJ14|KCNK2|SCN5A|FXYD3|FXYD2|KCNK7|ITPR1|SCN2B|SCN2A|SLC8A1|RYR1|ATP1B1|SCN3B|KCNE2|CASQ1|TNNI3|KCNK10
REACTOME,Cd22 mediated bcr regulation,0.000337863520031083,0.00852933008731531,0.734575615201613,1.75835466728569,319,18,IGHM|IGLC2|IGLC3|IGKV3-20|CD22|IGLV1-51|IGLV3-21|PTPN6|CD79A
REACTOME,Class a 1 rhodopsin like receptors,0.000462999537000463,0.0102871278221182,0.454837361830747,1.33467224913921,462,254,TRH|PLPPR3|HTR2C|CXCL6|NTSR2|CNR2|PYY|CCL20|OPN1SW|CXCL1|CHRM5|HTR2B|MTNR1A|PROK2|TSHR|BDKRB1|CCL22|PENK|ADORA2B|GPR37|DRD3|CCR9|CXCL2|UTS2|CCR6|HCRTR1|F2|CCR5|CXCL5|PMCH|RXFP1|FPR2|PTGER2|CXCL3|CXCL8|ADRA1D|RLN2|OPRM1|NPSR1|INSL5|NPW|CCL2|CYSLTR1|TAC1|P2RY6|NPB|LPAR5|P2RY10|HTR6|GPR143|XK|ECE2|CCK|GPR68|CCL3L3|CCL19|SSTR2|GPR39|GPR37L1|OPRL1|CXCL16|RRH|CXCR3|TBXA2R|GPR132|CCL3|CXCR5|NPFFR2|P2RY12|CXCL13|GPR55|HTR4|HTR7|TAC3|NTSR1|FSHR|MCHR2|NMBR|KNG1|LHB|P2RY2|C5AR1|HTR2A|CYSLTR2|CCRL2|TACR3|C5AR2|CXCL12|CHRM3|FPR1|F2RL2|CORT|AGT|UTS2B|CX3CR1|BDKRB2|GHRL|ADRA1B|GPER1|CXCL9|MC1R|ADRB2|NMB|FPR3|CCL5|HCAR1|GPR183|PTAFR|CCR3|HRH1|OPN3|CCL4|XCL1|NTS|GPR18|CCR2|S1PR5|FFAR2|GPHA2|PLPPR5|CCL17|RLN3|INSL3|SSTR1|CCR4|QRFPR|F2RL1|KEL|PNOC|QRFP|GRPR|LPAR3|XCR1|HRH4|GPR17|NMU|TRHR|CCL25|OPRD1
REACTOME,Class b 2 secretin family receptors,0.0016020862144534,0.0204307283224624,0.523140001202484,1.46277256738573,1600,83,GHRHR|WNT4|WNT9A|WNT16|WNT1|GIPR|PTH2R|CALCR|PTH2|PTHLH|GNG7|ADGRE3|WNT9B|SCT|GNGT1|ADM2|GCG|RAMP1|CALCB|GNG3|ADGRE1|GLP1R|WNT7B|WNT3A|WNT2|DHH|WNT10B|GLP2R|CALCA|GNGT2|GIP|GNG4|CYSLTR2|CD55|FZD10
